name,instance,hotcache,selectivity,duration_ns,num_rows,filtered_rows,num_objs,objects_read
client-vanilla,1,true,0.0,287214272709,15000000000,0,15000,15000
client-cls,1,true,0.0,298341263239,15000000000,0,15000,15000
cls-basic,1,true,0.0,109530583978,15000000000,0,15000,15000
cls-basic-prealloc,1,true,0.0,104401727930,15000000000,0,15000,15000
cls-staged,1,true,0.0,107674348168,15000000000,0,15000,15000
cls-index,1,true,0.0,6019210164,15000000000,0,15000,0
pg-all,1,true,0.0,74547653992,15000000000,0,15000,15000
pg-index,1,true,0.0,611898514,15000000000,0,15000,0
client-vanilla,2,true,0.0,286353393774,15000000000,0,15000,15000
client-cls,2,true,0.0,311381532840,15000000000,0,15000,15000
cls-basic,2,true,0.0,129557673654,15000000000,0,15000,15000
cls-basic-prealloc,2,true,0.0,131037525403,15000000000,0,15000,15000
cls-staged,2,true,0.0,114438963678,15000000000,0,15000,15000
cls-index,2,true,0.0,6229308570,15000000000,0,15000,0
pg-all,2,true,0.0,95048787874,15000000000,0,15000,15000
pg-index,2,true,0.0,639886265,15000000000,0,15000,0
client-vanilla,1,true,0.1,332242633833,15000000000,15000000,15000,15000
client-cls,1,true,0.1,314253325695,15000000000,15000000,15000,15000
cls-basic,1,true,0.1,124889009053,15000000000,15000000,15000,15000
cls-basic-prealloc,1,true,0.1,121823169053,15000000000,15000000,15000,15000
cls-staged,1,true,0.1,106419255564,15000000000,15000000,15000,15000
cls-index,1,true,0.1,6555453673,15000000000,15000000,15000,15
pg-all,1,true,0.1,93912081901,15000000000,15000000,15000,15000
pg-index,1,true,0.1,1200056041,15000000000,15000000,15000,15
client-vanilla,2,true,0.1,314831316676,15000000000,15000000,15000,15000
client-cls,2,true,0.1,314307144683,15000000000,15000000,15000,15000
cls-basic,2,true,0.1,125379942829,15000000000,15000000,15000,15000
cls-basic-prealloc,2,true,0.1,141141753426,15000000000,15000000,15000,15000
cls-staged,2,true,0.1,126330314315,15000000000,15000000,15000,15000
cls-index,2,true,0.1,6400158292,15000000000,15000000,15000,15
pg-all,2,true,0.1,93826837712,15000000000,15000000,15000,15000
pg-index,2,true,0.1,1141353995,15000000000,15000000,15000,15
client-vanilla,1,true,1.0,336237157793,15000000000,150000000,15000,15000
client-cls,1,true,1.0,339691112490,15000000000,150000000,15000,15000
cls-basic,1,true,1.0,143996832085,15000000000,150000000,15000,15000
cls-basic-prealloc,1,true,1.0,136429262514,15000000000,150000000,15000,15000
cls-staged,1,true,1.0,100759252192,15000000000,150000000,15000,15000
cls-index,1,true,1.0,11236436265,15000000000,150000000,15000,151
pg-all,1,true,1.0,93732470848,15000000000,150000000,15000,15000
pg-index,1,true,1.0,5558314488,15000000000,150000000,15000,151
client-vanilla,2,true,1.0,314234911448,15000000000,150000000,15000,15000
client-cls,2,true,1.0,323867633461,15000000000,150000000,15000,15000
cls-basic,2,true,1.0,145033674456,15000000000,150000000,15000,15000
cls-basic-prealloc,2,true,1.0,149860647866,15000000000,150000000,15000,15000
cls-staged,2,true,1.0,130005014709,15000000000,150000000,15000,15000
cls-index,2,true,1.0,11452308725,15000000000,150000000,15000,151
pg-all,2,true,1.0,92687564407,15000000000,150000000,15000,15000
pg-index,2,true,1.0,5751443387,15000000000,150000000,15000,151
client-vanilla,1,true,5.0,305824615528,15000000000,750000000,15000,15000
client-cls,1,true,5.0,312043234907,15000000000,750000000,15000,15000
cls-basic,1,true,5.0,176653352772,15000000000,750000000,15000,15000
cls-basic-prealloc,1,true,5.0,172601997433,15000000000,750000000,15000,15000
cls-staged,1,true,5.0,145792353688,15000000000,750000000,15000,15000
cls-index,1,true,5.0,30391637840,15000000000,750000000,15000,750
pg-all,1,true,5.0,119544940894,15000000000,750000000,15000,15000
pg-index,1,true,5.0,28621917077,15000000000,750000000,15000,750
client-vanilla,2,true,5.0,313749835831,15000000000,750000000,15000,15000
client-cls,2,true,5.0,316526108830,15000000000,750000000,15000,15000
cls-basic,2,true,5.0,159348154687,15000000000,750000000,15000,15000
cls-basic-prealloc,2,true,5.0,171764875525,15000000000,750000000,15000,15000
cls-staged,2,true,5.0,149056325762,15000000000,750000000,15000,15000
cls-index,2,true,5.0,31932462498,15000000000,750000000,15000,750
pg-all,2,true,5.0,118581708957,15000000000,750000000,15000,15000
pg-index,2,true,5.0,27588987339,15000000000,750000000,15000,750
client-vanilla,1,true,10.0,312256899708,15000000000,1500000000,15000,15000
client-cls,1,true,10.0,314787704780,15000000000,1500000000,15000,15000
cls-basic,1,true,10.0,221187820098,15000000000,1500000000,15000,15000
cls-basic-prealloc,1,true,10.0,217851739873,15000000000,1500000000,15000,15000
cls-staged,1,true,10.0,160689330538,15000000000,1500000000,15000,15000
cls-index,1,true,10.0,55022628998,15000000000,1500000000,15000,1500
pg-all,1,true,10.0,143721280111,15000000000,1500000000,15000,15000
pg-index,1,true,10.0,56818795034,15000000000,1500000000,15000,1500
