"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.osd-slicing-7.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output /tmp/1osd-5000-7500-10000-objs.client0.log",,,,"Date:","13 Apr 2017 21:29:14 MDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.395,0.852,97.874,0.737,0.0,0.143,2452195.978,2215462.104,0.0,0.0,280.327,503.730,3919.186,18759.000,0.0,0.0,11.925,2918965248.0,109359104.0,1.30744467456e+11,1020272640.0,280.327,503.730,2452195.978,2215462.104,3919.186,18759.000,0.395,0.852,97.874,0.737,0.0,0.143,1492140554.808,
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,2250.0,1658.0,0.0,0.0,1550.0,8435.0,0.0,0.0,0.0,2920181760.0,109359104.0,1.30744471552e+11,1019052032.0,0.0,0.0,0.0,0.0,1552.0,8460.0,0.0,0.0,100.0,0.0,0.0,0.0,1492140555.809,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,4096.0,2157.0,885.0,0.0,0.0,1605.0,7977.0,0.0,0.0,0.0,2920308736.0,109359104.0,1.30744471552e+11,1018925056.0,0.0,0.0,0.0,4096.0,1608.0,7961.0,0.0,0.0,100.0,0.0,0.0,0.0,1492140556.809,
0.031,0.031,99.937,0.0,0.0,0.0,0.0,0.0,2226.0,510.0,0.0,0.0,1415.0,8300.0,0.0,0.0,0.0,2920308736.0,109359104.0,1.30744471552e+11,1018925056.0,0.0,0.0,0.0,0.0,1414.0,8292.0,0.031,0.031,99.937,0.0,0.0,0.0,1492140557.809,
0.031,0.0,99.937,0.0,0.0,0.031,0.0,0.0,2598.0,1188.0,0.0,0.0,1629.0,8425.0,1.0,0.0,0.0,2919809024.0,109359104.0,1.30744471552e+11,1019424768.0,0.0,0.0,0.0,0.0,1630.0,8449.0,0.031,0.0,99.937,0.0,0.0,0.031,1492140558.809,
0.031,0.031,99.812,0.126,0.0,0.0,0.0,69632.0,195405.0,1524.0,0.0,0.0,1571.0,8310.0,0.0,0.0,0.0,2919641088.0,109367296.0,1.30744459264e+11,1019596800.0,0.0,0.0,0.0,69632.0,1567.0,8297.0,0.031,0.031,99.812,0.126,0.0,0.0,1492140559.809,
0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0,3304.0,757.0,0.0,0.0,1541.0,7873.0,0.0,0.0,2.0,2920665088.0,109367296.0,1.30744467456e+11,1018564608.0,0.0,0.0,0.0,0.0,1549.0,7875.0,0.031,0.031,99.937,0.0,0.0,0.0,1492140560.809,
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,5090.0,2566.0,0.0,0.0,1543.0,8409.0,0.0,0.0,0.0,2920939520.0,109367296.0,1.30744471552e+11,1018286080.0,0.0,0.0,0.0,0.0,1538.0,8405.0,0.031,0.0,99.969,0.0,0.0,0.0,1492140561.809,
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,3966.0,576.0,0.0,0.0,1576.0,8472.0,0.0,0.0,0.0,2920939520.0,109367296.0,1.30744471552e+11,1018286080.0,0.0,0.0,0.0,0.0,1576.0,8471.0,0.031,0.0,99.969,0.0,0.0,0.0,1492140562.809,
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,4472.0,868.0,0.0,0.0,1495.0,8700.0,0.0,0.0,0.0,2920902656.0,109367296.0,1.30744471552e+11,1018322944.0,0.0,0.0,0.0,0.0,1491.0,8692.0,0.0,0.031,99.969,0.0,0.0,0.0,1492140563.809,
