"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.osd-slicing-7.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output /tmp/1osd-5000-7500-10000.osd0.log",,,,"Date:","13 Apr 2017 21:29:12 MDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.278,0.830,94.800,4.058,0.0,0.034,103844558.657,26740107.975,0.0,0.0,789.516,1175.229,3326.510,2540.312,0.0,0.000,0.381,1007820800.0,2355200.0,1.05759453184e+11,28023435264.0,789.516,1175.229,103844558.657,26740107.975,3326.510,2540.312,0.278,0.830,94.800,4.058,0.0,0.034,1492140552.813,
0.0,0.0,99.938,0.062,0.0,0.0,0.0,49152.0,3624.0,1388.0,0.0,0.0,122.0,112.0,0.0,0.0,0.0,1007886336.0,2359296.0,1.05759461376e+11,28023357440.0,0.0,0.0,0.0,49152.0,121.0,110.0,0.0,0.031,99.938,0.031,0.0,0.0,1492140553.814,
0.031,0.062,99.906,0.0,0.0,0.0,0.0,73728.0,3844.0,193335.0,0.0,0.0,196.0,168.0,0.0,0.0,0.0,1007886336.0,2359296.0,1.05759461376e+11,28023357440.0,0.0,0.0,0.0,73728.0,196.0,168.0,0.031,0.031,99.938,0.0,0.0,0.0,1492140554.814,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2286.0,916.0,0.0,0.0,149.0,199.0,0.0,0.0,0.0,1007869952.0,2359296.0,1.05759469568e+11,28023365632.0,0.0,0.0,0.0,0.0,149.0,199.0,0.0,0.031,99.969,0.0,0.0,0.0,1492140555.814,
0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0,2127.0,917.0,0.0,0.0,124.0,120.0,0.0,0.0,0.0,1007869952.0,2359296.0,1.05759469568e+11,28023365632.0,0.0,0.0,0.0,0.0,124.0,120.0,0.0,0.0,100.0,0.0,0.0,0.0,1492140556.814,
0.125,0.031,99.844,0.0,0.0,0.0,0.0,0.0,4946.0,5156.0,0.0,0.0,254.0,290.0,0.0,0.0,4.0,1007345664.0,2359296.0,1.05759465472e+11,28023894016.0,0.0,0.0,0.0,0.0,254.0,290.0,0.125,0.062,99.813,0.0,0.0,0.0,1492140557.814,
0.0,0.062,99.906,0.031,0.0,0.0,0.0,53248.0,3590.0,2190.0,0.0,0.0,160.0,170.0,0.0,0.0,0.0,1007464448.0,2367488.0,1.05759469568e+11,28023762944.0,0.0,0.0,0.0,53248.0,160.0,170.0,0.0,0.031,99.937,0.031,0.0,0.0,1492140558.814,
0.0,0.031,99.969,0.0,0.0,0.0,0.0,0.0,3988.0,193217.0,0.0,0.0,190.0,228.0,0.0,0.0,0.0,1007591424.0,2367488.0,1.05759469568e+11,28023635968.0,0.0,0.0,0.0,0.0,190.0,228.0,0.0,0.031,99.969,0.0,0.0,0.0,1492140559.814,
0.031,0.0,99.969,0.0,0.0,0.0,0.0,0.0,3066.0,502.0,0.0,0.0,139.0,110.0,0.0,0.0,0.0,1007554560.0,2367488.0,1.05759469568e+11,28023672832.0,0.0,0.0,0.0,0.0,139.0,110.0,0.031,0.031,99.938,0.0,0.0,0.0,1492140560.814,
0.031,0.031,99.938,0.0,0.0,0.0,0.0,0.0,3982.0,1182.0,0.0,0.0,142.0,158.0,0.0,0.0,0.0,1007472640.0,2367488.0,1.05759469568e+11,28023754752.0,0.0,0.0,0.0,0.0,142.0,158.0,0.031,0.0,99.969,0.0,0.0,0.0,1492140561.814,
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,4858.0,982.0,0.0,0.0,170.0,114.0,0.0,0.0,0.0,1007726592.0,2367488.0,1.05759469568e+11,28023500800.0,0.0,0.0,0.0,0.0,170.0,114.0,0.0,0.031,99.969,0.0,0.0,0.0,1492140562.814,
0.031,0.031,99.938,0.0,0.0,0.0,0.0,0.0,3980.0,556.0,0.0,0.0,160.0,148.0,0.0,0.0,0.0,1007726592.0,2367488.0,1.05759469568e+11,28023500800.0,0.0,0.0,0.0,0.0,160.0,148.0,0.031,0.0,99.969,0.0,0.0,0.0,1492140563.814,
0.0,0.0,99.938,0.062,0.0,0.0,0.0,28672.0,4826.0,193557.0,0.0,0.0,200.0,203.0,0.0,0.0,0.0,1007718400.0,2375680.0,1.05759469568e+11,28023500800.0,0.0,0.0,0.0,28672.0,200.0,203.0,0.0,0.031,99.906,0.062,0.0,0.0,1492140564.814,
