"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.skyhook16osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output dstat-client0.log 5",,,,"Date:","24 Apr 2017 21:15:41 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.157,0.197,99.519,0.112,0.0,0.015,803337.580,8901021.390,0.0,0.0,0.401,16.238,1501.068,7766.410,0.000,0.0,4.128,5039587328.0,225349632.0,1.618306048e+11,1684652032.0,0.401,16.238,803337.580,8901021.390,1501.068,7766.412,0.157,0.197,99.519,0.112,0.0,0.015,1493086541.509,
0.045,0.045,99.890,0.015,0.0,0.005,0.0,10649.600,59041.800,5477.800,0.0,0.0,767.600,6956.600,0.200,0.0,0.400,5040193536.0,225349632.0,1.61830621184e+11,1684029440.0,0.0,0.0,0.0,10649.600,767.200,6928.200,0.050,0.045,99.885,0.015,0.0,0.005,1493086546.510,
0.080,0.075,99.815,0.025,0.0,0.005,0.0,12288.0,58897.400,4953.400,0.0,0.0,485.400,6987.800,0.200,0.0,0.400,5040828416.0,225357824.0,1.61830629376e+11,1683378176.0,0.0,0.0,0.0,12288.0,485.400,6988.200,0.075,0.075,99.820,0.025,0.0,0.005,1493086551.510,
0.035,0.075,99.875,0.0,0.0,0.015,0.0,10649.600,58661.800,4492.600,0.0,0.0,465.0,7302.400,0.600,0.0,0.0,5039529984.0,225357824.0,1.6183062528e+11,1684680704.0,0.0,0.0,0.0,10649.600,466.200,7322.0,0.040,0.075,99.870,0.0,0.0,0.015,1493086556.510,
0.075,0.085,99.815,0.015,0.0,0.010,0.0,13107.200,59115.0,5082.600,0.0,0.0,504.0,7091.400,0.400,0.0,1.0,5043310592.0,225366016.0,1.6183062528e+11,1680891904.0,0.0,0.0,0.0,13107.200,502.800,7071.400,0.070,0.085,99.820,0.015,0.0,0.010,1493086561.510,
0.070,0.065,99.850,0.010,0.0,0.005,0.0,13107.200,58854.200,5174.800,0.0,0.0,481.800,6952.800,0.600,0.0,0.400,5043376128.0,225366016.0,1.61830633472e+11,1680818176.0,0.0,0.0,0.0,13107.200,481.800,6952.800,0.075,0.065,99.845,0.010,0.0,0.005,1493086566.510,
0.080,0.050,99.855,0.005,0.0,0.010,0.0,16384.0,58673.400,4842.600,0.0,0.0,489.400,7255.0,0.800,0.0,0.0,5044580352.0,225374208.0,1.61830637568e+11,1679601664.0,0.0,0.0,0.0,16384.0,490.200,7274.600,0.075,0.050,99.860,0.005,0.0,0.010,1493086571.510,
0.045,0.090,99.860,0.0,0.0,0.005,0.0,11468.800,58797.800,4471.0,0.0,0.0,461.200,6970.0,0.200,0.0,0.0,5044576256.0,225374208.0,1.61830641664e+11,1679601664.0,0.0,0.0,0.0,11468.800,460.400,6950.400,0.045,0.090,99.860,0.0,0.0,0.005,1493086576.510,
0.065,0.075,99.835,0.020,0.0,0.005,0.0,15564.800,58762.600,4674.200,0.0,0.0,486.600,7057.0,0.400,0.0,0.400,5042933760.0,225386496.0,1.61830633472e+11,1681240064.0,0.0,0.0,0.0,15564.800,486.600,7057.0,0.070,0.075,99.830,0.020,0.0,0.005,1493086581.510,
0.075,0.070,99.840,0.0,0.0,0.015,0.0,10649.600,59061.0,5628.200,0.0,0.0,473.200,7260.200,1.200,0.0,0.800,5036711936.0,225386496.0,1.61830641664e+11,1687453696.0,0.0,0.0,0.0,10649.600,475.600,7303.200,0.075,0.070,99.840,0.0,0.0,0.015,1493086586.510,
