"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.skyhook16osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output dstat-osd1.log 5",,,,"Date:","24 Apr 2017 21:15:43 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.043,0.017,99.906,0.033,0.0,0.001,677256.419,6318224.289,0.0,0.0,0.0,0.0,362.130,316.287,0.0,0.0,0.767,2021969920.0,3436544.0,5507776512.0,1.61247010816e+11,0.0,0.0,677256.419,6318224.289,362.130,316.287,0.043,0.017,99.906,0.033,0.0,0.001,1493086543.678,
0.010,0.010,99.970,0.010,0.0,0.0,0.0,9011.200,4745.0,7523.800,0.0,0.0,203.400,227.400,0.0,0.0,0.0,2022178816.0,3444736.0,5508333568.0,1.61246236672e+11,0.0,0.0,0.0,9011.200,202.800,227.0,0.010,0.010,99.970,0.010,0.0,0.0,1493086548.679,
0.010,0.015,99.950,0.020,0.0,0.005,0.0,13107.200,4188.800,7062.0,0.0,0.0,193.800,233.400,0.0,0.0,0.400,2021781504.0,3461120.0,5508333568.0,1.612466176e+11,0.0,0.0,0.0,13107.200,194.200,233.400,0.015,0.015,99.945,0.020,0.0,0.005,1493086553.679,
0.020,0.015,99.955,0.010,0.0,0.0,0.0,4915.200,10162.800,11991.400,0.0,0.0,316.800,375.200,0.0,0.0,0.600,2026844160.0,3469312.0,5508337664.0,1.61241542656e+11,0.0,0.0,0.0,4915.200,316.400,375.200,0.015,0.015,99.960,0.010,0.0,0.0,1493086558.679,
0.005,0.010,99.960,0.025,0.0,0.0,0.0,12288.0,2525.600,5229.200,0.0,0.0,156.200,186.800,0.0,0.0,0.0,2025558016.0,3485696.0,5508333568.0,1.61242816512e+11,0.0,0.0,0.0,12288.0,156.200,186.800,0.005,0.010,99.960,0.025,0.0,0.0,1493086563.679,
0.010,0.020,99.955,0.015,0.0,0.0,0.0,4915.200,5924.200,8748.400,0.0,0.0,224.400,266.600,0.0,0.0,0.400,2026405888.0,3493888.0,5508337664.0,1.61241956352e+11,0.0,0.0,0.0,4915.200,224.400,266.600,0.015,0.020,99.950,0.015,0.0,0.0,1493086568.679,
0.010,0.020,99.960,0.010,0.0,0.0,0.0,13107.200,6195.600,8599.0,0.0,0.0,230.0,273.600,0.0,0.0,0.400,2021212160.0,3510272.0,5508337664.0,1.61247133696e+11,0.0,0.0,0.0,13107.200,230.0,273.600,0.010,0.020,99.960,0.010,0.0,0.0,1493086573.679,
0.015,0.010,99.970,0.0,0.0,0.005,0.0,819.200,5821.400,8029.800,0.0,0.0,211.600,253.0,0.0,0.0,0.0,2021830656.0,3510272.0,5508345856.0,1.61246507008e+11,0.0,0.0,0.0,819.200,211.600,253.0,0.010,0.010,99.975,0.0,0.0,0.005,1493086578.679,
0.010,0.015,99.965,0.010,0.0,0.0,0.0,15564.800,6399.0,9050.600,0.0,0.0,247.800,300.600,0.0,0.0,0.400,2020499456.0,3526656.0,5508345856.0,1.61247821824e+11,0.0,0.0,0.0,15564.800,247.800,300.600,0.010,0.015,99.965,0.010,0.0,0.0,1493086583.679,
0.010,0.010,99.970,0.010,0.0,0.0,0.0,8192.0,4397.400,7157.200,0.0,0.0,187.800,199.0,0.0,0.0,0.400,2021044224.0,3534848.0,5508349952.0,1.61247264768e+11,0.0,0.0,0.0,8192.0,187.800,199.0,0.010,0.010,99.970,0.010,0.0,0.0,1493086588.679,
