"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.skyhook-1osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 1osd.dstat-client0.log 5",,,,"Date:","25 Apr 2017 15:29:27 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.313,0.187,99.395,0.091,0.0,0.013,25963.534,37475298.325,0.0,0.0,0.0,0.0,4094.610,8504.878,0.0,0.0,18.130,5472534528.0,164065280.0,1.4768351232e+11,15460081664.0,0.0,0.0,25963.534,37475298.325,4094.610,8504.878,0.313,0.187,99.395,0.091,0.0,0.013,1493152167.148,
0.030,0.035,99.930,0.0,0.0,0.005,0.0,5734.400,40231.800,1524.400,0.0,0.0,1092.600,7520.600,0.0,0.0,0.0,5472755712.0,164069376.0,1.47683516416e+11,15459852288.0,0.0,0.0,0.0,5734.400,1093.0,7528.0,0.035,0.030,99.930,0.0,0.0,0.005,1493152172.149,
0.015,0.020,99.960,0.005,0.0,0.0,0.0,17203.200,39981.200,1380.200,0.0,0.0,1147.400,7536.0,0.0,0.0,0.0,5472559104.0,164081664.0,1.47683516416e+11,15460036608.0,0.0,0.0,0.0,17203.200,1147.800,7532.200,0.010,0.020,99.965,0.005,0.0,0.0,1493152177.149,
0.030,0.010,99.960,0.0,0.0,0.0,0.0,5734.400,41062.800,2013.0,0.0,0.0,1212.200,7361.200,0.0,0.0,0.400,5473402880.0,164089856.0,1.47683520512e+11,15459180544.0,0.0,0.0,0.0,5734.400,1211.800,7358.0,0.030,0.015,99.955,0.0,0.0,0.0,1493152182.149,
0.025,0.020,99.945,0.005,0.0,0.005,0.0,11468.800,40652.800,1227.800,0.0,0.0,1093.800,7580.400,0.0,0.0,0.200,5474103296.0,164098048.0,1.47683520512e+11,15458471936.0,0.0,0.0,0.0,11468.800,1094.400,7588.0,0.025,0.020,99.945,0.005,0.0,0.005,1493152187.149,
0.020,0.020,99.940,0.020,0.0,0.0,0.0,8192.0,40811.800,1443.800,0.0,0.0,1226.200,7462.600,0.0,0.0,0.200,5471719424.0,164098048.0,1.47683516416e+11,15460859904.0,0.0,0.0,0.0,8192.0,1225.400,7455.0,0.020,0.015,99.945,0.020,0.0,0.0,1493152192.149,
0.025,0.030,99.935,0.010,0.0,0.0,0.0,7372.800,40347.600,1792.200,0.0,0.0,1221.600,7490.0,0.0,0.0,0.0,5472219136.0,164110336.0,1.47683516416e+11,15460347904.0,0.0,0.0,0.0,7372.800,1222.0,7492.200,0.025,0.030,99.935,0.010,0.0,0.0,1493152197.149,
0.030,0.020,99.950,0.0,0.0,0.0,0.0,5734.400,41902.600,1611.0,0.0,0.0,1109.0,7608.400,0.0,0.0,0.400,5472296960.0,164114432.0,1.47683516416e+11,15460265984.0,0.0,0.0,0.0,5734.400,1109.200,7606.600,0.030,0.025,99.945,0.0,0.0,0.0,1493152202.149,
0.030,0.040,99.920,0.005,0.0,0.005,0.0,15564.800,41631.800,1989.600,0.0,0.0,1244.400,7681.0,0.0,0.0,0.400,5473202176.0,164126720.0,1.47683520512e+11,15459344384.0,0.0,0.0,0.0,15564.800,1244.400,7680.600,0.030,0.040,99.920,0.005,0.0,0.005,1493152207.149,
0.030,0.030,99.930,0.005,0.0,0.005,0.0,9830.400,40425.800,1040.0,0.0,0.0,1269.600,7365.0,0.0,0.0,0.0,5473562624.0,164126720.0,1.47683520512e+11,15458983936.0,0.0,0.0,0.0,9830.400,1269.0,7364.600,0.030,0.025,99.935,0.005,0.0,0.005,1493152212.149,
0.070,0.040,99.870,0.020,0.0,0.0,7372.800,17203.200,41710.800,2880.800,0.0,0.0,1129.800,7356.200,0.0,0.0,1.0,5475016704.0,164134912.0,1.47683557376e+11,15457484800.0,0.0,0.0,7372.800,17203.200,1139.0,7357.400,0.070,0.045,99.865,0.020,0.0,0.0,1493152217.149,
0.015,0.025,99.950,0.005,0.0,0.005,0.0,4915.200,39876.200,785.200,0.0,0.0,1120.600,7338.0,0.400,0.0,0.200,5475028992.0,164139008.0,1.47683557376e+11,15457468416.0,0.0,0.0,0.0,4915.200,1112.0,7337.200,0.015,0.025,99.950,0.005,0.0,0.005,1493152222.149,
0.080,0.095,99.799,0.005,0.0,0.020,0.0,7372.800,16200077.0,11873.600,0.0,0.0,1583.400,7568.0,0.600,0.0,5.200,5566234624.0,164155392.0,1.47669696512e+11,15380107264.0,0.0,0.0,0.0,7372.800,1586.600,7568.200,0.080,0.095,99.799,0.005,0.0,0.020,1493152227.149,
