"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.skyhook-1osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 1osd.dstat-osd0.log 5",,,,"Date:","25 Apr 2017 15:29:30 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
2.730,0.621,96.485,0.143,0.0,0.021,146856.477,50848262.728,0.0,0.0,0.0,88.011,21078.925,3080.616,0.0,0.0,1.953,7905533952.0,40218624.0,1.58363025408e+11,2471415808.0,0.0,88.011,146856.477,50848262.728,21078.925,3080.616,2.730,0.621,96.485,0.143,0.0,0.021,1493152170.820,
0.005,0.015,99.980,0.0,0.0,0.0,0.0,0.0,1055.600,39176.600,0.0,0.0,94.200,101.200,0.0,0.0,0.0,7905300480.0,40218624.0,1.58363316224e+11,2471358464.0,0.0,0.0,0.0,0.0,94.400,101.200,0.005,0.015,99.980,0.0,0.0,0.0,1493152175.821,
0.010,0.015,99.970,0.005,0.0,0.0,0.0,13107.200,2001.600,39639.400,0.0,0.0,125.0,130.0,0.0,0.0,0.400,7906574336.0,40235008.0,1.5836332032e+11,2470064128.0,0.0,0.0,0.0,13107.200,125.0,130.0,0.010,0.010,99.975,0.005,0.0,0.0,1493152180.821,
0.005,0.005,99.990,0.0,0.0,0.0,0.0,6553.600,1500.800,39096.400,0.0,0.0,104.400,111.200,0.0,0.0,0.0,7906693120.0,40235008.0,1.5836332032e+11,2469945344.0,0.0,0.0,0.0,6553.600,104.400,111.200,0.005,0.010,99.985,0.0,0.0,0.0,1493152185.821,
0.010,0.015,99.975,0.0,0.0,0.0,0.0,7372.800,1688.200,39213.200,0.0,0.0,132.0,147.800,0.0,0.0,0.0,7905570816.0,40251392.0,1.58363316224e+11,2471055360.0,0.0,0.0,0.0,7372.800,132.200,148.200,0.010,0.010,99.980,0.0,0.0,0.0,1493152190.821,
0.0,0.010,99.980,0.010,0.0,0.0,0.0,4915.200,1143.200,39035.0,0.0,0.0,90.0,97.400,0.0,0.200,0.0,7905562624.0,40259584.0,1.58363316224e+11,2471055360.0,0.0,0.0,0.0,4915.200,89.800,97.0,0.0,0.010,99.980,0.010,0.0,0.0,1493152195.821,
0.005,0.010,99.985,0.0,0.0,0.0,0.0,2457.600,1964.600,39065.200,0.0,0.0,110.800,98.400,0.0,0.0,0.0,7905681408.0,40267776.0,1.58363316224e+11,2470928384.0,0.0,0.0,0.0,2457.600,110.800,98.400,0.005,0.010,99.985,0.0,0.0,0.0,1493152200.821,
0.005,0.010,99.985,0.0,0.0,0.0,0.0,819.200,1525.0,39468.0,0.0,0.0,101.0,109.800,0.0,0.0,0.400,7906205696.0,40271872.0,1.58363328512e+11,2470387712.0,0.0,0.0,0.0,819.200,101.0,109.800,0.005,0.015,99.980,0.0,0.0,0.0,1493152205.821,
0.0,0.015,99.985,0.0,0.0,0.0,0.0,9011.200,1756.600,39297.0,0.0,0.0,126.0,142.800,0.0,0.0,0.0,7906639872.0,40280064.0,1.58363328512e+11,2469945344.0,0.0,0.0,0.0,9011.200,126.0,142.800,0.0,0.010,99.990,0.0,0.0,0.0,1493152210.821,
0.110,1.596,98.254,0.040,0.0,0.0,154828.800,22118.400,3070.600,41058.0,0.0,0.0,707.200,736.600,0.800,0.0,9.200,7122493440.0,1949696.0,1.28373174272e+11,33282576384.0,0.0,0.0,154828.800,22118.400,708.0,737.400,0.110,1.596,98.254,0.040,0.0,0.0,1493152215.821,
0.005,2.511,97.479,0.0,0.0,0.005,819.200,7372.800,1004.600,39063.600,0.0,0.0,630.0,904.200,1.0,0.0,0.0,5309317120.0,1957888.0,63170306048.0,1.00298612736e+11,0.0,0.0,819.200,7372.800,629.800,904.200,0.005,2.511,97.479,0.0,0.0,0.005,1493152220.821,
0.005,2.371,97.494,0.130,0.0,0.0,299008.0,2457.600,1670.600,39626.600,0.0,0.0,682.600,745.800,0.800,0.0,0.800,3580440576.0,2043904.0,127897600.0,1.65069811712e+11,0.0,0.0,299008.0,2457.600,682.0,745.0,0.005,2.371,97.494,0.130,0.0,0.0,1493152225.821,
0.326,1.172,95.111,3.346,0.0,0.045,288819609.600,18841.600,139682.600,267684964.0,0.0,0.0,8850.0,5322.400,0.200,1.400,3.800,3750752256.0,2117632.0,1569996800.0,1.63457327104e+11,0.0,0.0,288819609.600,18841.600,8850.0,5322.400,0.331,1.172,95.107,3.346,0.0,0.045,1493152230.821,
0.286,1.152,96.549,1.984,0.0,0.030,302925414.400,3276.800,115826.200,319421762.200,0.0,0.0,8880.400,5384.600,1.0,0.200,0.0,3729137664.0,2125824.0,3086266368.0,1.61962663936e+11,0.0,0.0,303187558.400,3276.800,8884.0,5388.200,0.281,1.152,96.554,1.984,0.0,0.030,1493152235.821,
0.245,0.947,97.515,1.267,0.0,0.025,260587520.0,2457.600,65636.600,270677225.200,0.0,0.0,7397.400,4637.400,0.400,0.600,0.0,3737448448.0,2134016.0,4388462592.0,1.60652148736e+11,0.0,0.0,260587520.0,2457.600,7402.0,4637.400,0.245,0.947,97.515,1.267,0.0,0.025,1493152240.821,
0.281,1.067,96.754,1.869,0.0,0.030,285694361.600,0.0,57419.200,301931560.400,0.0,0.0,8160.800,5025.600,1.200,1.400,0.400,3749072896.0,2134016.0,5817098240.0,1.5921188864e+11,0.0,0.0,285631283.200,0.0,8159.800,5025.200,0.286,1.067,96.749,1.869,0.0,0.030,1493152245.821,
0.245,0.986,97.476,1.262,0.0,0.030,265195520.0,2457.600,90012.800,277257251.600,0.0,0.0,7394.200,4712.400,0.200,1.0,0.0,3736408064.0,2142208.0,7142244352.0,1.57899399168e+11,0.0,0.0,265206169.600,2457.600,7391.200,4714.400,0.245,0.986,97.472,1.267,0.0,0.030,1493152250.821,
0.456,1.650,89.092,8.742,0.0,0.060,436727808.0,4915.200,143861.200,468754419.200,0.0,0.0,12393.400,7754.800,1.0,4.400,0.0,3691032576.0,2150400.0,9328635904.0,1.55758374912e+11,0.0,0.0,436806451.200,4915.200,12399.200,7758.200,0.451,1.650,89.086,8.752,0.0,0.060,1493152255.821,
0.351,1.308,94.048,4.264,0.0,0.030,346770636.800,8192.0,78681.200,349412680.600,0.0,0.0,9371.800,6007.800,0.800,1.400,0.0,3758284800.0,2170880.0,11060248576.0,1.53959489536e+11,0.0,0.0,346691993.600,8192.0,9369.800,6001.600,0.356,1.307,94.054,4.253,0.0,0.030,1493152260.821,
0.285,1.172,96.659,1.848,0.0,0.035,319414272.0,1638.400,74198.800,333446085.200,0.0,0.0,8363.800,5565.400,0.400,1.600,0.0,3745533952.0,2170880.0,12657704960.0,1.52374784e+11,0.0,0.0,319440486.400,1638.400,8364.400,5566.0,0.285,1.177,96.654,1.848,0.0,0.035,1493152265.821,
0.295,1.176,95.921,2.568,0.0,0.040,305663180.800,4096.0,69799.400,319924694.400,0.0,0.0,8169.400,5305.400,0.200,1.400,0.0,3758333952.0,2179072.0,14185406464.0,1.50834274304e+11,0.0,0.0,305584537.600,4096.0,8162.800,5304.600,0.295,1.171,95.930,2.563,0.0,0.040,1493152270.821,
0.356,1.323,94.814,3.477,0.0,0.030,345674547.200,0.0,97644.0,361661314.200,0.0,0.0,9970.400,6016.0,0.600,1.800,0.0,3771146240.0,2179072.0,15913730048.0,1.49093138432e+11,0.0,0.0,345700761.600,0.0,9970.0,6015.800,0.351,1.323,94.819,3.478,0.0,0.030,1493152275.821,
0.311,1.152,95.302,3.221,0.0,0.015,304708812.800,2457.600,91540.200,317582541.800,0.0,0.0,8292.0,5362.200,1.0,2.200,0.400,3773624320.0,2187264.0,17438310400.0,1.47566071808e+11,0.0,0.0,304735027.200,2457.600,8295.400,5364.0,0.311,1.152,95.302,3.221,0.0,0.015,1493152280.821,
0.356,1.218,95.875,2.511,0.0,0.040,343813324.800,5734.400,124180.0,358632237.800,0.0,0.0,9520.0,6055.200,1.0,1.0,0.0,3773784064.0,2195456.0,19155783680.0,1.45848430592e+11,0.0,0.0,343603609.600,5734.400,9515.200,6052.600,0.356,1.218,95.875,2.511,0.0,0.040,1493152285.821,
