"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.skyhook-2osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 2osds.dstat-client0.log 5",,,,"Date:","25 Apr 2017 15:01:58 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.329,0.192,99.356,0.109,0.0,0.014,28813.576,41295295.617,0.0,0.0,0.0,0.0,4445.458,8664.088,0.0,0.0,19.920,5463773184.0,171425792.0,1.47534282752e+11,15610712064.0,0.0,0.0,28813.576,41295295.617,4445.458,8664.089,0.329,0.192,99.356,0.109,0.0,0.014,1493150518.255,
0.035,0.015,99.935,0.010,0.0,0.005,0.0,13926.400,42177.200,2772.800,0.0,0.0,1400.600,7398.800,0.0,0.0,0.0,5463805952.0,171433984.0,1.475346432e+11,15610310656.0,0.0,0.0,0.0,13926.400,1400.400,7395.600,0.035,0.020,99.930,0.010,0.0,0.005,1493150523.256,
0.025,0.025,99.945,0.005,0.0,0.0,0.0,19660.800,41838.800,1987.600,0.0,0.0,1419.600,6933.800,0.200,0.0,0.200,5464961024.0,171450368.0,1.475346432e+11,15609139200.0,0.0,0.0,0.0,19660.800,1419.600,6933.800,0.025,0.020,99.950,0.005,0.0,0.0,1493150528.256,
0.035,0.015,99.950,0.0,0.0,0.0,0.0,5734.400,42201.200,2026.400,0.0,0.0,1364.800,7194.400,0.0,0.0,0.0,5465067520.0,171454464.0,1.475346432e+11,15609028608.0,0.0,0.0,0.0,5734.400,1364.800,7194.400,0.035,0.020,99.945,0.0,0.0,0.0,1493150533.256,
0.025,0.030,99.920,0.025,0.0,0.0,0.0,7372.800,42153.200,1967.600,0.0,0.0,1428.200,7530.200,0.400,0.0,0.0,5465305088.0,171470848.0,1.475346432e+11,15608774656.0,0.0,0.0,0.0,7372.800,1428.200,7530.600,0.025,0.030,99.920,0.025,0.0,0.0,1493150538.256,
0.025,0.025,99.950,0.0,0.0,0.0,0.0,4915.200,43130.800,2244.400,0.0,0.0,1461.400,7551.400,0.200,0.0,0.0,5465628672.0,171470848.0,1.475346432e+11,15608451072.0,0.0,0.0,0.0,4915.200,1461.400,7551.0,0.025,0.020,99.955,0.0,0.0,0.0,1493150543.256,
0.035,0.020,99.930,0.010,0.0,0.005,0.0,7372.800,43074.0,2341.200,0.0,0.0,1353.200,7534.800,0.600,0.0,0.0,5465710592.0,171487232.0,1.475346432e+11,15608352768.0,0.0,0.0,0.0,7372.800,1353.600,7539.200,0.035,0.025,99.925,0.010,0.0,0.005,1493150548.256,
0.030,0.025,99.945,0.0,0.0,0.0,0.0,5734.400,41748.800,1806.800,0.0,0.0,1431.800,7521.800,0.400,0.0,0.0,5465690112.0,171491328.0,1.475346432e+11,15608369152.0,0.0,0.0,0.0,5734.400,1431.400,7517.600,0.030,0.025,99.945,0.0,0.0,0.0,1493150553.256,
0.025,0.025,99.940,0.010,0.0,0.0,0.0,13107.200,41512.800,1551.200,0.0,0.0,1370.200,7044.0,0.0,0.0,0.0,5465255936.0,171499520.0,1.475346432e+11,15608795136.0,0.0,0.0,0.0,13107.200,1370.200,7044.200,0.025,0.020,99.945,0.010,0.0,0.0,1493150558.256,
0.035,0.020,99.940,0.0,0.0,0.005,0.0,6553.600,41392.400,1653.200,0.0,0.0,1666.400,7069.800,0.200,0.0,0.0,5465198592.0,171499520.0,1.475346432e+11,15608852480.0,0.0,0.0,0.0,6553.600,1666.400,7069.600,0.035,0.025,99.935,0.0,0.0,0.005,1493150563.256,
0.015,0.020,99.955,0.010,0.0,0.0,0.0,7372.800,41542.400,1618.800,0.0,0.0,1501.0,7575.200,0.800,0.0,0.0,5465165824.0,171511808.0,1.475346432e+11,15608872960.0,0.0,0.0,0.0,7372.800,1501.0,7575.0,0.015,0.015,99.960,0.010,0.0,0.0,1493150568.256,
