"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.skyhook-2osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 2osds.dstat-osd1.log 5",,,,"Date:","25 Apr 2017 15:02:01 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
1.516,0.361,97.979,0.134,0.0,0.009,34964.364,43928124.374,0.0,0.0,0.0,0.0,16989.650,2363.284,0.0,0.0,2.086,6939959296.0,108195840.0,84342525952.0,77389512704.0,0.0,0.0,34964.364,43928124.374,16989.650,2363.284,1.516,0.361,97.979,0.134,0.0,0.009,1493150521.296,
0.010,0.005,99.985,0.0,0.0,0.0,0.0,0.0,1170.0,20986.200,0.0,0.0,123.200,129.600,0.0,0.0,0.0,6940360704.0,108195840.0,84342534144.0,77389103104.0,0.0,0.0,0.0,0.0,122.800,129.600,0.015,0.005,99.980,0.0,0.0,0.0,1493150526.297,
0.020,0.010,99.970,0.0,0.0,0.0,0.0,6553.600,1546.200,20817.600,0.0,0.0,105.800,107.200,0.0,0.0,0.0,6954524672.0,108204032.0,84342534144.0,77374930944.0,0.0,0.0,0.0,6553.600,105.800,107.200,0.015,0.010,99.975,0.0,0.0,0.0,1493150531.297,
0.020,0.005,99.975,0.0,0.0,0.0,0.0,0.0,1443.200,20922.600,0.0,0.0,115.400,112.600,0.0,0.0,0.0,6954524672.0,108204032.0,84342534144.0,77374930944.0,0.0,0.0,0.0,0.0,115.400,112.600,0.025,0.005,99.970,0.0,0.0,0.0,1493150536.297,
0.020,0.015,99.960,0.0,0.0,0.005,0.0,2457.600,1776.200,20962.400,0.0,0.0,111.0,111.400,0.0,0.0,0.0,6967939072.0,108212224.0,84342534144.0,77361508352.0,0.0,0.0,0.0,2457.600,111.0,111.400,0.015,0.015,99.965,0.0,0.0,0.005,1493150541.297,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,0.0,1890.400,21077.0,0.0,0.0,129.200,130.0,0.0,0.0,0.0,6967939072.0,108212224.0,84342534144.0,77361508352.0,0.0,0.0,0.0,0.0,129.200,130.0,0.015,0.005,99.980,0.0,0.0,0.0,1493150546.297,
0.020,0.010,99.965,0.005,0.0,0.0,0.0,2457.600,1530.200,21036.200,0.0,0.0,120.400,122.0,0.0,0.0,0.200,6983811072.0,108220416.0,84342534144.0,77345628160.0,0.0,0.0,0.0,2457.600,120.400,122.0,0.020,0.010,99.965,0.005,0.0,0.0,1493150551.297,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,819.200,1350.800,20908.200,0.0,0.0,103.600,110.200,0.0,0.0,0.0,6983925760.0,108224512.0,84342542336.0,77345501184.0,0.0,0.0,0.0,819.200,103.600,110.200,0.020,0.005,99.975,0.0,0.0,0.0,1493150556.297,
0.020,0.010,99.970,0.0,0.0,0.0,0.0,9011.200,982.200,20806.0,0.0,0.0,106.400,109.400,0.0,0.0,0.0,6997549056.0,108232704.0,84342542336.0,77331869696.0,0.0,0.0,0.0,9011.200,106.400,109.400,0.020,0.010,99.970,0.0,0.0,0.0,1493150561.297,
0.020,0.005,99.975,0.0,0.0,0.0,0.0,0.0,1117.200,20809.0,0.0,0.0,112.400,121.800,0.0,0.0,0.0,6997532672.0,108232704.0,84342542336.0,77331886080.0,0.0,0.0,0.0,0.0,112.400,121.800,0.015,0.005,99.980,0.0,0.0,0.0,1493150566.297,
0.020,0.005,99.975,0.0,0.0,0.0,0.0,2457.600,1761.0,21278.400,0.0,0.0,121.600,113.600,0.0,0.0,0.0,7002206208.0,108240896.0,84342542336.0,77327204352.0,0.0,0.0,0.0,2457.600,121.600,113.600,0.020,0.005,99.975,0.0,0.0,0.0,1493150571.297,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,0.0,1743.600,20776.600,0.0,0.0,108.0,102.0,0.0,0.0,0.0,7002206208.0,108240896.0,84342542336.0,77327204352.0,0.0,0.0,0.0,0.0,108.0,102.0,0.020,0.005,99.975,0.0,0.0,0.0,1493150576.297,
