"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.skyhook-1osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 1osd.dstat-osd0.log 5",,,,"Date:","25 Apr 2017 15:29:30 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.005,2.371,97.494,0.130,0.0,0.0,299008.0,2457.600,1670.600,39626.600,0.0,0.0,682.600,745.800,0.800,0.0,0.800,3580440576.0,2043904.0,127897600.0,1.65069811712e+11,0.0,0.0,299008.0,2457.600,682.0,745.0,0.005,2.371,97.494,0.130,0.0,0.0,1493152225.821,
0.326,1.172,95.111,3.346,0.0,0.045,288819609.600,18841.600,139682.600,267684964.0,0.0,0.0,8850.0,5322.400,0.200,1.400,3.800,3750752256.0,2117632.0,1569996800.0,1.63457327104e+11,0.0,0.0,288819609.600,18841.600,8850.0,5322.400,0.331,1.172,95.107,3.346,0.0,0.045,1493152230.821,
0.286,1.152,96.549,1.984,0.0,0.030,302925414.400,3276.800,115826.200,319421762.200,0.0,0.0,8880.400,5384.600,1.0,0.200,0.0,3729137664.0,2125824.0,3086266368.0,1.61962663936e+11,0.0,0.0,303187558.400,3276.800,8884.0,5388.200,0.281,1.152,96.554,1.984,0.0,0.030,1493152235.821,
0.245,0.947,97.515,1.267,0.0,0.025,260587520.0,2457.600,65636.600,270677225.200,0.0,0.0,7397.400,4637.400,0.400,0.600,0.0,3737448448.0,2134016.0,4388462592.0,1.60652148736e+11,0.0,0.0,260587520.0,2457.600,7402.0,4637.400,0.245,0.947,97.515,1.267,0.0,0.025,1493152240.821,
0.281,1.067,96.754,1.869,0.0,0.030,285694361.600,0.0,57419.200,301931560.400,0.0,0.0,8160.800,5025.600,1.200,1.400,0.400,3749072896.0,2134016.0,5817098240.0,1.5921188864e+11,0.0,0.0,285631283.200,0.0,8159.800,5025.200,0.286,1.067,96.749,1.869,0.0,0.030,1493152245.821,
0.245,0.986,97.476,1.262,0.0,0.030,265195520.0,2457.600,90012.800,277257251.600,0.0,0.0,7394.200,4712.400,0.200,1.0,0.0,3736408064.0,2142208.0,7142244352.0,1.57899399168e+11,0.0,0.0,265206169.600,2457.600,7391.200,4714.400,0.245,0.986,97.472,1.267,0.0,0.030,1493152250.821,
0.456,1.650,89.092,8.742,0.0,0.060,436727808.0,4915.200,143861.200,468754419.200,0.0,0.0,12393.400,7754.800,1.0,4.400,0.0,3691032576.0,2150400.0,9328635904.0,1.55758374912e+11,0.0,0.0,436806451.200,4915.200,12399.200,7758.200,0.451,1.650,89.086,8.752,0.0,0.060,1493152255.821,
0.351,1.308,94.048,4.264,0.0,0.030,346770636.800,8192.0,78681.200,349412680.600,0.0,0.0,9371.800,6007.800,0.800,1.400,0.0,3758284800.0,2170880.0,11060248576.0,1.53959489536e+11,0.0,0.0,346691993.600,8192.0,9369.800,6001.600,0.356,1.307,94.054,4.253,0.0,0.030,1493152260.821,
0.285,1.172,96.659,1.848,0.0,0.035,319414272.0,1638.400,74198.800,333446085.200,0.0,0.0,8363.800,5565.400,0.400,1.600,0.0,3745533952.0,2170880.0,12657704960.0,1.52374784e+11,0.0,0.0,319440486.400,1638.400,8364.400,5566.0,0.285,1.177,96.654,1.848,0.0,0.035,1493152265.821,
0.295,1.176,95.921,2.568,0.0,0.040,305663180.800,4096.0,69799.400,319924694.400,0.0,0.0,8169.400,5305.400,0.200,1.400,0.0,3758333952.0,2179072.0,14185406464.0,1.50834274304e+11,0.0,0.0,305584537.600,4096.0,8162.800,5304.600,0.295,1.171,95.930,2.563,0.0,0.040,1493152270.821,
