"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.skyhook-1osds.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 1osd.dstat-osd0.log 5",,,,"Date:","25 Apr 2017 15:29:30 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.005,2.510,97.480,0.005,0.0,0.0,9011.200,0.0,1440.200,39355.200,0.0,0.0,700.800,831.0,1.0,0.0,0.0,5685395456.0,1757184.0,52353294336.0,1.10739746816e+11,0.0,0.0,9011.200,0.0,699.800,831.800,0.005,2.511,97.479,0.005,0.0,0.0,1493154860.821,
0.205,1.767,95.765,2.253,0.0,0.010,128855244.800,25395.200,7678.600,43372.600,0.0,0.0,1909.200,2957.800,0.600,3.400,4.800,5663776768.0,1830912.0,766234624.0,1.62348351488e+11,0.0,0.0,129117388.800,25395.200,1910.600,2960.400,0.205,1.762,95.765,2.258,0.0,0.010,1493154865.821,
0.476,1.277,93.980,4.242,0.0,0.025,494804172.800,3276.800,22318.800,60512.400,0.0,0.0,4719.200,8431.400,0.200,8.0,0.0,5610553344.0,1839104.0,3239768064.0,1.5992803328e+11,0.0,0.0,494804172.800,3276.800,4719.200,8431.400,0.476,1.277,93.981,4.241,0.0,0.025,1493154870.821,
0.451,1.257,94.432,3.846,0.0,0.015,494028390.400,2457.600,21878.200,68163.400,0.0,0.0,4718.800,8436.200,1.600,7.0,0.0,5583867904.0,1847296.0,5709766656.0,1.57484711936e+11,0.0,0.0,494028390.400,2457.600,4723.0,8440.800,0.451,1.262,94.426,3.846,0.0,0.015,1493154875.821,
0.451,1.262,94.420,3.842,0.0,0.025,499816857.600,0.0,22380.600,68889.600,0.0,0.0,4772.200,8488.400,0.600,7.400,0.0,5592264704.0,1847296.0,8207327232.0,1.5497875456e+11,0.0,0.0,499790643.200,0.0,4770.600,8486.0,0.456,1.257,94.421,3.842,0.0,0.025,1493154880.821,
0.471,1.417,93.667,4.406,0.0,0.040,496545792.0,2457.600,22233.800,69581.0,0.0,0.0,4794.200,8445.600,1.400,6.800,0.800,5637713920.0,1855488.0,10692825088.0,1.52447799296e+11,0.0,0.0,496572006.400,2457.600,4792.400,8443.600,0.466,1.417,93.677,4.401,0.0,0.040,1493154885.821,
0.501,1.357,94.623,3.470,0.0,0.050,496671129.600,0.0,22079.800,70075.200,0.0,0.0,5170.200,8503.400,1.600,5.800,0.0,5646622720.0,1855488.0,13173526528.0,1.49958189056e+11,0.0,0.0,496691609.600,0.0,5171.200,8503.200,0.511,1.357,94.608,3.474,0.0,0.050,1493154890.821,
0.501,1.263,94.323,3.884,0.0,0.030,498400460.800,13926.400,23058.0,69554.600,0.0,0.0,4787.600,8574.800,0.400,7.200,0.400,5589155840.0,1871872.0,15664578560.0,1.4752458752e+11,0.0,0.0,498327552.0,13926.400,4786.400,8574.800,0.491,1.263,94.332,3.884,0.0,0.030,1493154895.821,
0.476,1.273,94.057,4.179,0.0,0.015,498417664.0,5734.400,22060.800,69329.200,0.0,0.0,4726.200,8515.800,0.600,7.800,0.400,5660463104.0,1880064.0,18158592000.0,1.44959258624e+11,0.0,0.0,498496307.200,5734.400,4725.600,8515.800,0.476,1.273,94.057,4.179,0.0,0.015,1493154900.821,
0.486,1.253,93.552,4.690,0.0,0.020,496455680.0,8192.0,22445.800,68851.600,0.0,0.0,4709.800,8484.400,1.200,6.400,0.0,5621878784.0,1896448.0,20640477184.0,1.42515941376e+11,0.0,0.0,496429465.600,8192.0,4710.0,8484.600,0.486,1.258,93.546,4.690,0.0,0.020,1493154905.821,
