"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.20K.dstat.client0.log 5",,,,"Date:","06 May 2017 18:34:32 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
2.163,2.796,94.696,0.282,0.0,0.063,9673754.750,11985482.543,0.0,0.0,0.280,32.008,3834.606,14693.148,0.000,0.0,8.710,4634324992.0,269828096.0,1.63253047296e+11,622993408.0,0.280,32.008,9673754.750,11985482.543,3834.606,14693.149,2.163,2.796,94.696,0.282,0.0,0.063,1494113672.648,
3.056,3.571,93.252,0.010,0.0,0.110,0.0,9011.200,42173.200,3107.0,0.0,0.0,2237.0,28249.800,3.0,0.0,0.200,4635631616.0,269828096.0,1.63252809728e+11,621924352.0,0.0,0.0,0.0,9011.200,2237.400,28234.600,3.056,3.571,93.253,0.010,0.0,0.110,1494113677.649,
3.285,3.470,93.205,0.010,0.0,0.030,0.0,11468.800,42061.600,1874.0,0.0,0.0,3323.0,26306.400,2.600,0.0,0.200,4636479488.0,269836288.0,1.63252809728e+11,621068288.0,0.0,0.0,0.0,11468.800,3323.800,26307.600,3.285,3.465,93.209,0.010,0.0,0.030,1494113682.649,
3.134,3.600,93.210,0.015,0.0,0.040,0.0,14745.600,42612.600,4075.0,0.0,0.0,2779.800,24725.0,2.400,0.0,0.400,4638441472.0,269836288.0,1.63252813824e+11,619102208.0,0.0,0.0,0.0,14745.600,2779.0,24719.0,3.134,3.605,93.206,0.015,0.0,0.040,1494113687.649,
3.159,3.469,93.307,0.020,0.0,0.045,0.0,9830.400,42781.200,2500.200,0.0,0.0,2876.0,25620.0,2.600,0.0,0.200,4627103744.0,269844480.0,1.63252813824e+11,630431744.0,0.0,0.0,0.0,9830.400,2876.0,25617.0,3.159,3.464,93.312,0.020,0.0,0.045,1494113692.649,
3.171,3.581,93.097,0.010,0.0,0.140,0.0,7372.800,42814.0,2870.800,0.0,0.0,1984.400,26383.400,2.400,0.0,0.0,4627361792.0,269844480.0,1.63252809728e+11,630177792.0,0.0,0.0,0.0,7372.800,1984.600,26411.600,3.171,3.582,93.097,0.010,0.0,0.140,1494113697.649,
3.185,3.545,93.215,0.015,0.0,0.040,0.0,10649.600,42270.400,2248.400,0.0,0.0,2754.200,26595.0,2.600,0.0,0.0,4626259968.0,269852672.0,1.63252809728e+11,631271424.0,0.0,0.0,0.0,10649.600,2753.600,26599.600,3.185,3.550,93.210,0.015,0.0,0.040,1494113702.649,
3.108,3.529,93.303,0.010,0.0,0.050,0.0,6553.600,42622.400,2348.800,0.0,0.0,2195.200,24163.800,2.600,0.0,0.0,4627943424.0,269852672.0,1.63252809728e+11,629587968.0,0.0,0.0,0.0,6553.600,2196.0,24166.200,3.108,3.529,93.303,0.010,0.0,0.050,1494113707.649,
3.169,3.584,93.202,0.020,0.0,0.025,0.0,13926.400,42436.400,2105.600,0.0,0.0,2772.400,26360.800,2.800,0.0,0.0,4628156416.0,269860864.0,1.63252809728e+11,629366784.0,0.0,0.0,0.0,13926.400,2771.600,26325.400,3.169,3.584,93.202,0.020,0.0,0.025,1494113712.649,
3.193,3.543,93.179,0.010,0.0,0.075,0.0,6553.600,43065.600,2733.600,0.0,0.0,2489.0,26585.800,2.600,0.0,0.0,4630261760.0,269860864.0,1.63252813824e+11,627257344.0,0.0,0.0,0.0,6553.600,2493.0,26593.0,3.193,3.538,93.184,0.010,0.0,0.075,1494113717.649,
3.170,3.460,93.330,0.015,0.0,0.025,0.0,13926.400,41909.200,2276.0,0.0,0.0,3136.200,28312.400,2.400,0.0,0.800,4633251840.0,269869056.0,1.63252813824e+11,624259072.0,0.0,0.0,0.0,13926.400,3132.400,28313.600,3.170,3.465,93.325,0.015,0.0,0.025,1494113722.649,
3.239,3.530,93.176,0.020,0.0,0.035,74547.200,14745.600,42310.800,2854.400,0.0,0.0,2920.600,28861.200,3.0,0.0,0.600,4635725824.0,269877248.0,1.63253190656e+11,621400064.0,0.0,0.0,74547.200,14745.600,2922.800,28867.600,3.234,3.530,93.181,0.020,0.0,0.035,1494113727.649,
3.280,3.451,93.239,0.015,0.0,0.015,0.0,16384.0,42970.400,2776.400,0.0,0.0,3165.400,27288.600,2.800,0.0,0.0,4635082752.0,269889536.0,1.6325318656e+11,622034944.0,0.0,0.0,0.0,16384.0,3163.400,27309.400,3.285,3.446,93.239,0.015,0.0,0.015,1494113732.649,
3.140,3.491,93.354,0.010,0.0,0.005,0.0,4915.200,42382.600,2846.200,0.0,0.0,2938.800,25745.400,2.800,0.0,0.400,4637155328.0,269889536.0,1.63253190656e+11,619958272.0,0.0,0.0,0.0,4915.200,2950.200,25749.0,3.140,3.496,93.349,0.010,0.0,0.005,1494113737.649,
3.329,3.464,93.132,0.020,0.0,0.055,7372.800,9830.400,44250.0,4375.800,0.0,0.0,2960.200,27182.400,2.600,0.0,1.200,4640026624.0,269897728.0,1.63253239808e+11,617029632.0,0.0,0.0,7372.800,9830.400,2948.400,27143.600,3.324,3.464,93.137,0.020,0.0,0.055,1494113742.649,
3.279,3.499,93.117,0.015,0.0,0.090,0.0,18841.600,45560.0,5863.0,0.0,0.0,2386.400,27556.0,3.0,0.0,0.800,4642385920.0,269905920.0,1.63253243904e+11,614658048.0,0.0,0.0,0.0,18841.600,2387.0,27558.0,3.284,3.499,93.112,0.015,0.0,0.090,1494113747.649,
3.250,3.465,93.261,0.010,0.0,0.015,0.0,16384.0,46706.200,6973.400,0.0,0.0,3866.800,26608.200,2.800,0.0,1.0,4644040704.0,269905920.0,1.63253239808e+11,613007360.0,0.0,0.0,0.0,16384.0,3866.200,26605.800,3.250,3.460,93.266,0.010,0.0,0.015,1494113752.649,
3.334,3.479,93.112,0.015,0.0,0.060,0.0,21299.200,45036.800,5608.800,0.0,0.0,2842.600,27286.600,2.600,0.0,0.800,4645867520.0,269914112.0,1.63253239808e+11,611172352.0,0.0,0.0,0.0,21299.200,2843.0,27340.200,3.334,3.479,93.113,0.015,0.0,0.060,1494113757.649,
3.210,3.575,93.160,0.015,0.0,0.040,0.0,8192.0,46605.400,6445.800,0.0,0.0,2601.400,25338.0,3.0,0.0,1.0,4630441984.0,269922304.0,1.63253239808e+11,626589696.0,0.0,0.0,0.0,8192.0,2604.0,25287.200,3.210,3.580,93.155,0.015,0.0,0.040,1494113762.649,
3.183,3.489,93.253,0.005,0.0,0.070,0.0,4096.0,45211.400,5150.400,0.0,0.0,2313.600,26435.0,3.0,0.0,0.600,4634763264.0,269922304.0,1.63253239808e+11,622268416.0,0.0,0.0,0.0,4096.0,2311.200,26447.800,3.184,3.484,93.257,0.005,0.0,0.070,1494113767.649,
3.476,6.625,89.754,0.080,0.0,0.065,0.0,63078.400,140772624.200,134156.600,0.0,0.0,14592.400,29592.800,4.200,0.0,5.600,4752470016.0,269934592.0,1.63094396928e+11,663392256.0,0.0,0.0,0.0,63078.400,14598.200,29596.800,3.475,6.629,89.751,0.080,0.0,0.065,1494113772.649,
