"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.40K.dstat.osd0.log 5",,,,"Date:","07 May 2017 02:22:28 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.343,0.116,99.470,0.068,0.0,0.003,7980139.076,4425000.220,0.0,0.0,0.0,0.0,2312.982,645.777,0.0,0.0,0.378,4961091584.0,17965056.0,24535289856.0,1.39265847296e+11,0.0,0.0,7980139.076,4425000.220,2312.982,645.777,0.343,0.116,99.470,0.068,0.0,0.003,1494141748.983,
0.015,0.015,99.960,0.010,0.0,0.0,0.0,8192.0,4643.0,9554.200,0.0,0.0,206.200,253.800,0.0,0.0,0.0,4960980992.0,17973248.0,24535867392.0,1.3926537216e+11,0.0,0.0,0.0,8192.0,206.600,254.200,0.010,0.015,99.965,0.010,0.0,0.0,1494141753.984,
0.025,0.010,99.950,0.015,0.0,0.0,0.0,13926.400,4324.600,10256.400,0.0,0.0,227.400,271.800,0.0,0.0,0.800,4958826496.0,17989632.0,24535859200.0,1.39267518464e+11,0.0,0.0,0.0,13926.400,227.200,271.400,0.025,0.010,99.950,0.015,0.0,0.0,1494141758.984,
0.010,0.010,99.975,0.005,0.0,0.0,0.0,4096.0,5033.800,9782.800,0.0,0.0,195.800,236.400,0.400,0.0,0.0,4959305728.0,17997824.0,24535863296.0,1.39267026944e+11,0.0,0.0,0.0,4096.0,195.800,236.400,0.010,0.010,99.975,0.005,0.0,0.0,1494141763.984,
0.010,0.010,99.980,0.0,0.0,0.0,0.0,14745.600,4061.800,8968.400,0.0,0.0,180.200,208.200,0.0,0.0,0.400,4963598336.0,18014208.0,24535863296.0,1.39262717952e+11,0.0,0.0,0.0,14745.600,180.200,208.200,0.010,0.010,99.980,0.0,0.0,0.0,1494141768.984,
0.040,0.025,99.920,0.015,0.0,0.0,0.0,8192.0,7233.0,13009.600,0.0,0.0,279.400,329.0,0.0,0.0,2.600,4963180544.0,18022400.0,24535887872.0,1.39263102976e+11,0.0,0.0,0.0,8192.0,279.400,329.0,0.040,0.025,99.920,0.015,0.0,0.0,1494141773.984,
0.055,0.045,99.885,0.015,0.0,0.0,0.0,13107.200,8600.200,16513.400,0.0,0.0,421.600,492.800,0.0,0.0,3.600,4969844736.0,18038784.0,24535891968.0,1.39256418304e+11,0.0,0.0,0.0,13107.200,421.600,492.800,0.055,0.050,99.880,0.015,0.0,0.0,1494141778.984,
0.010,0.010,99.980,0.0,0.0,0.0,0.0,10649.600,4091.800,9343.0,0.0,0.0,176.400,219.200,0.0,0.0,0.0,4969521152.0,18046976.0,24535879680.0,1.39256745984e+11,0.0,0.0,0.0,10649.600,176.200,219.200,0.010,0.005,99.985,0.0,0.0,0.0,1494141783.984,
0.020,0.010,99.965,0.005,0.0,0.0,0.0,8192.0,4302.0,10109.800,0.0,0.0,208.0,259.0,0.0,0.0,0.800,4975079424.0,18055168.0,24535891968.0,1.39251167232e+11,0.0,0.0,0.0,8192.0,208.200,259.0,0.020,0.015,99.960,0.005,0.0,0.0,1494141788.984,
0.115,0.040,99.805,0.040,0.0,0.0,0.0,26214.400,8127.800,12985.0,0.0,0.0,423.600,523.0,0.0,0.0,8.200,4977958912.0,18079744.0,24535924736.0,1.392482304e+11,0.0,0.0,0.0,26214.400,424.600,523.400,0.115,0.040,99.805,0.040,0.0,0.0,1494141793.984,
