"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.5K.osd1.dstat.log 5",,,,"Date:","05 May 2017 22:03:50 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.370,0.107,99.465,0.057,0.0,0.002,5209722.852,6537946.522,0.0,0.0,0.0,0.0,1903.278,509.864,0.0,0.0,0.540,2218455040.0,22011904.0,21841108992.0,1.44698617856e+11,0.0,0.0,5209722.852,6537946.522,1903.278,509.864,0.370,0.107,99.465,0.057,0.0,0.002,1494039830.043,
0.010,0.015,99.975,0.0,0.0,0.0,0.0,0.0,3906.400,7639.800,0.0,0.0,168.0,168.400,0.0,0.0,0.200,2224869376.0,22011904.0,21841117184.0,1.44692195328e+11,0.0,0.0,0.0,0.0,168.0,168.400,0.015,0.015,99.970,0.0,0.0,0.0,1494039835.044,
0.010,0.010,99.960,0.020,0.0,0.0,0.0,8192.0,3548.200,7453.600,0.0,0.0,168.800,164.200,0.0,0.0,0.0,2224852992.0,22028288.0,21841117184.0,1.44692195328e+11,0.0,0.0,0.0,8192.0,168.800,164.200,0.005,0.010,99.965,0.020,0.0,0.0,1494039840.044,
0.020,0.015,99.965,0.0,0.0,0.0,0.0,0.0,5993.200,9711.400,0.0,0.0,218.400,231.600,0.400,0.0,0.0,2224852992.0,22028288.0,21841117184.0,1.44692195328e+11,0.0,0.0,0.0,0.0,218.400,231.600,0.020,0.015,99.965,0.0,0.0,0.0,1494039845.044,
0.010,0.015,99.970,0.005,0.0,0.0,0.0,2457.600,4072.200,8200.400,0.0,0.0,183.400,172.200,0.0,0.0,0.0,2224734208.0,22036480.0,21841117184.0,1.4469230592e+11,0.0,0.0,0.0,2457.600,183.400,172.200,0.010,0.015,99.970,0.005,0.0,0.0,1494039850.044,
0.520,1.051,97.663,0.760,0.0,0.005,11694899.200,215449.600,7502.0,12001.800,0.0,0.0,1404.800,1247.400,0.800,0.200,15.200,1666154496.0,2940928.0,393338880.0,1.66717759488e+11,0.0,0.0,11694899.200,215449.600,1404.800,1247.400,0.520,1.051,97.664,0.760,0.0,0.005,1494039855.044,
0.010,0.010,99.965,0.015,0.0,0.0,819.200,3276.800,5771.0,9590.800,0.0,0.0,228.0,246.0,0.0,0.0,0.0,1665064960.0,2949120.0,393342976.0,1.66718836736e+11,0.0,0.0,819.200,3276.800,228.0,246.0,0.010,0.015,99.960,0.015,0.0,0.0,1494039860.044,
0.020,0.020,99.955,0.005,0.0,0.0,0.0,2457.600,3791.200,8029.0,0.0,0.0,175.600,181.400,0.0,0.0,0.0,1664720896.0,2957312.0,393342976.0,1.66719172608e+11,0.0,0.0,0.0,2457.600,175.600,181.400,0.020,0.020,99.955,0.005,0.0,0.0,1494039865.044,
0.015,0.020,99.965,0.0,0.0,0.0,0.0,0.0,5654.200,9416.400,0.0,0.0,209.800,209.400,0.0,0.0,0.0,1664626688.0,2957312.0,393342976.0,1.66719266816e+11,0.0,0.0,0.0,0.0,210.0,209.800,0.015,0.015,99.970,0.0,0.0,0.0,1494039870.044,
0.010,0.010,99.975,0.005,0.0,0.0,0.0,2457.600,3614.800,7722.200,0.0,0.0,158.800,163.0,0.0,0.0,0.0,1664491520.0,2965504.0,393342976.0,1.66719393792e+11,0.0,0.0,0.0,2457.600,158.600,162.600,0.010,0.015,99.970,0.005,0.0,0.0,1494039875.044,
