"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.10K.osd0.dstat.log 5",,,,"Date:","06 May 2017 02:27:55 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.458,0.138,99.317,0.083,0.0,0.003,8158337.435,6696928.629,0.0,0.0,0.0,0.0,2811.768,704.669,0.0,0.0,0.499,2156531712.0,15159296.0,17044242432.0,1.49564260352e+11,0.0,0.0,8158337.435,6696928.629,2811.768,704.669,0.458,0.138,99.317,0.083,0.0,0.003,1494055675.417,
0.010,0.015,99.975,0.0,0.0,0.0,0.0,30310.400,9437.400,7778.400,0.0,0.0,267.200,199.800,0.0,0.0,0.0,2155626496.0,15167488.0,17044451328.0,1.4956494848e+11,0.0,0.0,0.0,30310.400,266.800,199.400,0.015,0.015,99.970,0.0,0.0,0.0,1494055680.418,
0.010,0.0,99.990,0.0,0.0,0.0,0.0,9830.400,5260.0,7721.0,0.0,0.0,196.800,201.0,0.0,0.0,0.0,2155356160.0,15183872.0,17044451328.0,1.49565202432e+11,0.0,0.0,0.0,9830.400,196.800,201.0,0.010,0.0,99.990,0.0,0.0,0.0,1494055685.418,
0.015,0.010,99.975,0.0,0.0,0.0,0.0,1638.400,5069.400,8438.0,0.0,0.0,201.0,234.400,0.0,0.0,0.200,2157060096.0,15183872.0,17044455424.0,1.495634944e+11,0.0,0.0,0.0,1638.400,201.0,234.400,0.010,0.010,99.980,0.0,0.0,0.0,1494055690.418,
0.015,0.0,99.985,0.0,0.0,0.0,0.0,8192.0,4703.800,8548.800,0.0,0.0,199.800,215.200,0.0,0.0,0.400,2156867584.0,15200256.0,17044455424.0,1.49563670528e+11,0.0,0.0,0.0,8192.0,199.800,215.200,0.015,0.0,99.985,0.0,0.0,0.0,1494055695.418,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,5734.400,3345.0,6548.200,0.0,0.0,152.200,167.600,0.0,0.0,0.0,2157232128.0,15208448.0,17044455424.0,1.49563297792e+11,0.0,0.0,0.0,5734.400,152.200,167.600,0.020,0.005,99.975,0.0,0.0,0.0,1494055700.418,
0.015,0.005,99.965,0.015,0.0,0.0,0.0,7372.800,4882.400,8069.400,0.0,0.0,189.600,208.400,0.0,0.0,0.200,2157223936.0,15224832.0,17044455424.0,1.495632896e+11,0.0,0.0,0.0,7372.800,189.600,208.400,0.010,0.005,99.970,0.015,0.0,0.0,1494055705.418,
0.010,0.0,99.985,0.005,0.0,0.0,0.0,4096.0,6333.400,8941.600,0.0,0.0,214.400,246.200,0.0,0.0,0.0,2157215744.0,15233024.0,17044455424.0,1.495632896e+11,0.0,0.0,0.0,4096.0,214.400,246.200,0.015,0.0,99.980,0.005,0.0,0.0,1494055710.418,
0.020,0.015,99.965,0.0,0.0,0.0,0.0,32768.0,4437.800,7906.400,0.0,0.0,209.0,201.600,0.0,0.0,0.400,2157211648.0,15241216.0,17044455424.0,1.49563285504e+11,0.0,0.0,0.0,32768.0,209.0,201.600,0.020,0.015,99.965,0.0,0.0,0.0,1494055715.418,
0.015,0.010,99.975,0.0,0.0,0.0,0.0,4915.200,6051.0,8964.400,0.0,0.0,206.0,230.0,0.0,0.0,0.0,2157314048.0,15249408.0,17044459520.0,1.49563170816e+11,0.0,0.0,0.0,4915.200,206.0,230.0,0.015,0.010,99.975,0.0,0.0,0.0,1494055720.418,
0.015,0.005,99.965,0.015,0.0,0.0,0.0,9011.200,3996.400,7442.600,0.0,0.0,172.800,185.200,0.0,0.0,0.0,2157297664.0,15265792.0,17044459520.0,1.49563170816e+11,0.0,0.0,0.0,9011.200,172.800,185.200,0.010,0.005,99.970,0.015,0.0,0.0,1494055725.418,
0.160,0.870,98.724,0.240,0.0,0.005,1448345.600,31129.600,7203.400,11032.400,0.0,0.0,820.0,992.800,0.200,0.400,13.400,1724436480.0,2002944.0,705105920.0,1.66348648448e+11,0.0,0.0,1448345.600,31129.600,820.0,992.800,0.160,0.870,98.724,0.240,0.0,0.005,1494055730.418,
0.015,0.005,99.970,0.010,0.0,0.0,819.200,4915.200,4594.200,8642.0,0.0,0.0,205.400,227.400,0.0,0.0,0.400,1726754816.0,2011136.0,705101824.0,1.66346326016e+11,0.0,0.0,819.200,4915.200,205.400,227.400,0.015,0.005,99.970,0.010,0.0,0.0,1494055735.418,
0.015,0.0,99.980,0.005,0.0,0.0,0.0,2457.600,3886.600,7016.600,0.0,0.0,160.0,178.800,0.0,0.0,0.0,1726038016.0,2019328.0,705110016.0,1.66347026432e+11,0.0,0.0,0.0,2457.600,160.0,178.800,0.015,0.0,99.980,0.005,0.0,0.0,1494055740.418,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,4915.200,4851.200,8023.800,0.0,0.0,192.600,198.200,0.0,0.0,0.0,1732096000.0,2027520.0,705110016.0,1.66340960256e+11,0.0,0.0,0.0,4915.200,192.600,198.200,0.015,0.005,99.980,0.0,0.0,0.0,1494055745.418,
0.015,0.0,99.965,0.020,0.0,0.0,0.0,5734.400,3823.400,7307.600,0.0,0.0,171.800,195.0,0.0,0.0,0.0,1731551232.0,2043904.0,705114112.0,1.66341484544e+11,0.0,0.0,0.0,5734.400,171.800,195.0,0.020,0.0,99.960,0.020,0.0,0.0,1494055750.418,
0.060,0.105,99.635,0.195,0.0,0.005,33846067.200,4915.200,14828.400,5036401.0,0.0,0.0,761.400,871.600,0.0,1.600,0.400,1891213312.0,2052096.0,873705472.0,1.66013222912e+11,0.0,0.0,33846067.200,4915.200,768.200,871.600,0.055,0.105,99.640,0.195,0.0,0.005,1494055755.418,
0.055,0.165,99.675,0.100,0.0,0.005,39519027.200,16384.0,20275.200,32454213.400,0.0,0.0,1527.0,982.400,0.200,0.200,0.400,1931849728.0,2207744.0,1071804416.0,1.65774331904e+11,0.0,0.0,39519027.200,16384.0,1520.200,982.400,0.055,0.165,99.675,0.100,0.0,0.005,1494055760.418,
0.020,0.060,99.895,0.025,0.0,0.0,11282022.400,9011.200,12651.600,23344291.0,0.0,0.0,1076.400,417.600,0.0,0.0,0.0,1875238912.0,2215936.0,1127944192.0,1.65774794752e+11,0.0,0.0,11282022.400,9011.200,1076.400,417.600,0.020,0.060,99.895,0.025,0.0,0.0,1494055765.418,
0.045,0.140,99.725,0.090,0.0,0.0,36666572.800,6553.600,22173.200,46961716.800,0.0,0.0,1393.600,902.600,0.0,0.0,0.0,1831235584.0,2224128.0,1311522816.0,1.65635211264e+11,0.0,0.0,36666572.800,6553.600,1393.600,902.600,0.045,0.140,99.725,0.090,0.0,0.0,1494055770.418,
0.050,0.120,99.765,0.065,0.0,0.0,28205056.0,4915.200,13369.800,30874444.800,0.0,0.0,917.400,705.200,0.200,0.400,0.400,1825001472.0,2232320.0,1451143168.0,1.65501816832e+11,0.0,0.0,28205056.0,4915.200,917.400,705.200,0.050,0.120,99.765,0.065,0.0,0.0,1494055775.418,
0.050,0.130,99.720,0.095,0.0,0.005,33850163.200,7372.800,23994.600,41673099.200,0.0,0.0,1220.600,836.200,0.200,0.0,0.0,1797640192.0,2248704.0,1621295104.0,1.65359009792e+11,0.0,0.0,33850163.200,7372.800,1220.600,836.200,0.055,0.130,99.715,0.095,0.0,0.005,1494055780.418,
0.060,0.200,99.630,0.105,0.0,0.005,45128089.600,0.0,42769.0,51712844.800,0.0,0.0,1583.0,997.200,0.0,0.0,0.0,1783029760.0,2248704.0,1845813248.0,1.6514910208e+11,0.0,0.0,45128089.600,0.0,1583.0,997.200,0.055,0.200,99.635,0.105,0.0,0.005,1494055785.418,
0.080,0.275,99.470,0.165,0.0,0.010,66077491.200,5734.400,58493.400,75084970.600,0.0,0.0,2185.0,1456.0,0.200,0.0,0.400,1744117760.0,2265088.0,2178752512.0,1.64855058432e+11,0.0,0.0,66287206.400,5734.400,2186.0,1457.600,0.085,0.275,99.465,0.165,0.0,0.010,1494055790.418,
