"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.2.5K.client0.dstat.log 5",,,,"Date:","05 May 2017 16:08:52 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.925,1.026,97.626,0.404,0.0,0.020,10749453.630,20724265.955,0.0,0.0,0.0,4.125,1628.992,2611.936,0.000,0.0,2.715,2296520704.0,54124544.0,1.65816328192e+11,613220352.0,0.0,4.125,10749453.630,20724265.955,1628.992,2611.936,0.925,1.026,97.626,0.404,0.0,0.020,1494018532.051
1.920,2.035,95.991,0.0,0.0,0.055,0.0,7372.800,49464.200,4067.0,0.0,0.0,1510.600,3206.0,2.400,0.0,0.0,2297237504.0,54132736.0,1.65816332288e+11,612491264.0,0.0,0.0,0.0,7372.800,1510.600,3206.0,1.920,2.039,95.986,0.0,0.0,0.055,1494018537.052
1.856,1.901,96.194,0.025,0.0,0.025,0.0,13107.200,49139.200,3013.400,0.0,0.0,1489.200,3297.400,1.800,0.0,0.400,2298015744.0,54149120.0,1.6581634048e+11,611688448.0,0.0,0.0,0.0,13107.200,1489.200,3297.400,1.851,1.901,96.198,0.025,0.0,0.025,1494018542.052
1.860,2.070,96.039,0.0,0.0,0.030,0.0,13926.400,49467.800,4499.800,0.0,0.0,1571.400,3577.0,1.600,0.0,0.600,2298413056.0,54157312.0,1.6581634048e+11,611282944.0,0.0,0.0,0.0,13926.400,1571.400,3577.0,1.870,2.070,96.031,0.0,0.0,0.030,1494018547.052
1.940,2.026,95.984,0.020,0.0,0.030,0.0,10649.600,49770.400,3650.600,0.0,0.0,1624.200,3587.800,1.600,0.0,0.400,2299363328.0,54173696.0,1.6581634048e+11,610316288.0,0.0,0.0,0.0,10649.600,1624.200,3587.800,1.931,2.031,95.988,0.020,0.0,0.030,1494018552.052
1.785,1.970,96.214,0.0,0.0,0.030,819.200,10649.600,49011.0,2848.200,0.0,0.0,1530.400,3387.0,1.400,0.0,0.0,2298970112.0,54185984.0,1.65816352768e+11,610684928.0,0.0,0.0,819.200,10649.600,1530.400,3387.0,1.785,1.970,96.215,0.0,0.0,0.030,1494018557.052
1.871,2.066,96.028,0.025,0.0,0.010,0.0,22937.600,48678.600,2663.400,0.0,0.0,1618.400,3339.800,2.0,0.0,0.200,2287443968.0,54202368.0,1.65806481408e+11,632066048.0,0.0,0.0,0.0,22937.600,1618.400,3339.800,1.876,2.061,96.028,0.025,0.0,0.010,1494018562.052
1.850,2.136,96.004,0.010,0.0,0.0,0.0,9011.200,49578.400,3903.200,0.0,0.0,1598.400,3272.600,1.400,0.0,0.800,2292555776.0,54210560.0,1.658064896e+11,626937856.0,0.0,0.0,0.0,9011.200,1598.400,3272.600,1.846,2.136,96.009,0.010,0.0,0.0,1494018567.052
1.795,1.970,96.175,0.020,0.0,0.040,0.0,11468.800,48751.400,3437.0,0.0,0.0,1531.200,3496.400,1.0,0.0,0.200,2288033792.0,54226944.0,1.65806493696e+11,631439360.0,0.0,0.0,0.0,11468.800,1531.200,3497.600,1.795,1.970,96.175,0.020,0.0,0.040,1494018572.052
