"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.2.5K.osd0.dstat.log 5",,,,"Date:","05 May 2017 16:08:53 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.302,0.060,99.612,0.024,0.0,0.001,201641.415,7399179.350,0.0,0.0,0.0,0.0,1326.314,380.146,0.0,0.0,0.593,1976893440.0,172859392.0,21582086144.0,1.45048354816e+11,0.0,0.0,201641.415,7399179.350,1326.314,380.146,0.302,0.060,99.612,0.024,0.0,0.001,1494018533.617
0.035,0.010,99.955,0.0,0.0,0.0,0.0,4915.200,5432.200,10121.800,0.0,0.0,230.200,263.800,0.0,0.0,0.400,1977094144.0,172863488.0,21582094336.0,1.45048141824e+11,0.0,0.0,0.0,4915.200,229.800,263.0,0.035,0.010,99.955,0.0,0.0,0.0,1494018538.618
0.025,0.005,99.970,0.0,0.0,0.0,0.0,22118.400,3705.400,8834.600,0.0,0.0,182.0,214.200,0.0,0.0,0.400,1977610240.0,172875776.0,21582098432.0,1.45047609344e+11,0.0,0.0,0.0,22118.400,182.0,214.200,0.025,0.005,99.970,0.0,0.0,0.0,1494018543.618
0.010,0.0,99.990,0.0,0.0,0.0,0.0,5734.400,4907.800,9649.400,0.0,0.0,192.200,229.0,0.0,0.0,0.0,1976918016.0,172879872.0,21582098432.0,1.45048297472e+11,0.0,0.0,0.0,5734.400,192.200,229.0,0.010,0.005,99.985,0.0,0.0,0.0,1494018548.618
0.025,0.010,99.955,0.010,0.0,0.0,0.0,8192.0,5448.600,10291.600,0.0,0.0,228.800,262.600,0.0,0.0,0.800,1976619008.0,172896256.0,21582090240.0,1.45048588288e+11,0.0,0.0,0.0,8192.0,228.800,262.600,0.025,0.010,99.955,0.010,0.0,0.0,1494018553.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,0.0,5874.0,10787.400,0.0,0.0,233.800,265.0,0.0,0.0,0.400,1976209408.0,172896256.0,21582102528.0,1.450489856e+11,0.0,0.0,0.0,0.0,233.800,265.0,0.020,0.010,99.970,0.0,0.0,0.0,1494018558.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,10649.600,4251.600,9248.200,0.0,0.0,192.800,228.200,0.0,0.0,0.0,1978650624.0,172912640.0,21582102528.0,1.45046528e+11,0.0,0.0,0.0,10649.600,192.800,228.200,0.020,0.010,99.970,0.0,0.0,0.0,1494018563.618
0.030,0.005,99.965,0.0,0.0,0.0,0.0,5734.400,4031.600,9531.600,0.0,0.0,190.600,229.600,0.0,0.0,0.800,1978064896.0,172916736.0,21582106624.0,1.45047105536e+11,0.0,0.0,0.0,5734.400,190.600,229.600,0.030,0.0,99.970,0.0,0.0,0.0,1494018568.618
0.020,0.005,99.965,0.010,0.0,0.0,0.0,16384.0,4195.800,9288.800,0.0,0.0,199.400,224.800,0.0,0.0,0.400,1977917440.0,172929024.0,21582110720.0,1.45047236608e+11,0.0,0.0,0.0,16384.0,199.400,224.800,0.020,0.005,99.965,0.010,0.0,0.0,1494018573.618
0.005,0.005,99.990,0.0,0.0,0.0,0.0,9830.400,4927.800,9601.600,0.0,0.0,199.600,246.600,0.0,0.0,0.0,1977847808.0,172937216.0,21582110720.0,1.45047298048e+11,0.0,0.0,0.0,9830.400,199.600,246.600,0.005,0.005,99.990,0.0,0.0,0.0,1494018578.618
0.025,0.005,99.970,0.0,0.0,0.0,0.0,8192.0,4321.0,9723.400,0.0,0.0,207.600,227.800,0.0,0.0,0.400,1977843712.0,172949504.0,21582110720.0,1.45047289856e+11,0.0,0.0,0.0,8192.0,207.600,227.800,0.025,0.005,99.970,0.0,0.0,0.0,1494018583.618
0.030,0.010,99.945,0.015,0.0,0.0,0.0,9011.200,3517.0,8530.800,0.0,0.0,171.200,195.800,0.0,0.0,0.400,1978089472.0,172953600.0,21582114816.0,1.45047035904e+11,0.0,0.0,0.0,9011.200,171.200,195.800,0.030,0.010,99.945,0.015,0.0,0.0,1494018588.618
0.025,0.010,99.965,0.0,0.0,0.0,0.0,2457.600,5004.200,9627.0,0.0,0.0,221.800,238.0,0.0,0.0,0.400,1978658816.0,172961792.0,21582118912.0,1.45046454272e+11,0.0,0.0,0.0,2457.600,221.800,238.0,0.025,0.010,99.965,0.0,0.0,0.0,1494018593.618
0.020,0.005,99.975,0.0,0.0,0.0,0.0,8192.0,5506.800,10299.800,0.0,0.0,222.600,249.400,0.0,0.0,0.400,1978048512.0,172969984.0,21582118912.0,1.45047056384e+11,0.0,0.0,0.0,8192.0,222.600,249.400,0.020,0.005,99.975,0.0,0.0,0.0,1494018598.618
0.030,0.010,99.955,0.005,0.0,0.0,0.0,11468.800,6497.200,11326.600,0.0,0.0,259.600,301.600,0.0,0.0,1.0,1982152704.0,172986368.0,21582127104.0,1.45042927616e+11,0.0,0.0,0.0,11468.800,259.600,301.600,0.030,0.010,99.955,0.005,0.0,0.0,1494018603.618
0.030,0.010,99.945,0.015,0.0,0.0,0.0,9011.200,3256.800,8435.0,0.0,0.0,183.0,214.200,0.0,0.0,0.400,1981661184.0,173002752.0,21582131200.0,1.45043398656e+11,0.0,0.0,0.0,9011.200,183.0,214.200,0.030,0.010,99.945,0.015,0.0,0.0,1494018608.618
0.015,0.005,99.980,0.0,0.0,0.0,0.0,13107.200,5432.800,9760.600,0.0,0.0,228.0,255.600,0.0,0.0,0.0,1981239296.0,173006848.0,21582139392.0,1.45043808256e+11,0.0,0.0,0.0,13107.200,228.0,255.600,0.020,0.005,99.975,0.0,0.0,0.0,1494018613.618
0.025,0.010,99.965,0.0,0.0,0.0,0.0,3276.800,7397.600,9912.0,0.0,0.0,255.800,263.800,0.0,0.0,0.400,1980071936.0,173015040.0,21582131200.0,1.45044975616e+11,0.0,0.0,0.0,3276.800,255.800,263.800,0.025,0.010,99.965,0.0,0.0,0.0,1494018618.618
0.030,0.005,99.965,0.0,0.0,0.0,0.0,4915.200,5599.400,9179.800,0.0,0.0,220.800,202.0,0.0,0.0,0.800,1982865408.0,173023232.0,21582139392.0,1.4504216576e+11,0.0,0.0,0.0,4915.200,220.800,202.0,0.025,0.010,99.965,0.0,0.0,0.0,1494018623.618
0.010,0.005,99.985,0.0,0.0,0.0,0.0,10649.600,4403.0,8645.0,0.0,0.0,177.600,195.0,0.0,0.0,0.0,1983057920.0,173039616.0,21582139392.0,1.45041956864e+11,0.0,0.0,0.0,10649.600,177.600,195.0,0.010,0.005,99.985,0.0,0.0,0.0,1494018628.618
0.010,0.005,99.970,0.015,0.0,0.0,0.0,4915.200,4847.200,9437.800,0.0,0.0,201.800,227.0,0.0,0.0,0.0,1982005248.0,173047808.0,21582135296.0,1.4504300544e+11,0.0,0.0,0.0,4915.200,201.800,227.0,0.010,0.005,99.970,0.015,0.0,0.0,1494018633.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,9011.200,4251.400,9291.400,0.0,0.0,179.0,205.800,0.0,0.0,0.600,1981349888.0,173064192.0,21582139392.0,1.4504364032e+11,0.0,0.0,0.0,9011.200,179.0,205.800,0.020,0.005,99.975,0.0,0.0,0.0,1494018638.618
0.015,0.0,99.975,0.010,0.0,0.0,0.0,12288.0,3634.800,8335.0,0.0,0.0,168.200,180.400,0.0,0.0,0.0,1986031616.0,173076480.0,21582139392.0,1.45038946304e+11,0.0,0.0,0.0,12288.0,168.200,180.400,0.015,0.005,99.970,0.010,0.0,0.0,1494018643.618
0.015,0.005,99.980,0.0,0.0,0.0,0.0,13926.400,3379.0,8096.800,0.0,0.0,147.200,159.800,0.0,0.0,0.0,1986027520.0,173076480.0,21582143488.0,1.45038946304e+11,0.0,0.0,0.0,13926.400,147.200,159.800,0.015,0.005,99.980,0.0,0.0,0.0,1494018648.618
0.010,0.005,99.985,0.0,0.0,0.0,0.0,6553.600,6261.600,10701.0,0.0,0.0,222.400,236.200,0.0,0.0,0.0,1990172672.0,173084672.0,21582143488.0,1.4503479296e+11,0.0,0.0,0.0,6553.600,222.400,236.200,0.010,0.005,99.985,0.0,0.0,0.0,1494018653.618
0.015,0.005,99.980,0.0,0.0,0.0,0.0,0.0,5397.400,9108.0,0.0,0.0,189.400,195.400,0.0,0.0,0.400,1989255168.0,173084672.0,21582139392.0,1.4503571456e+11,0.0,0.0,0.0,0.0,189.400,195.400,0.015,0.005,99.980,0.0,0.0,0.0,1494018658.618
0.015,0.005,99.980,0.0,0.0,0.0,0.0,7372.800,7300.800,10787.0,0.0,0.0,238.200,242.800,0.0,0.0,0.0,1990156288.0,173092864.0,21582143488.0,1.45034801152e+11,0.0,0.0,0.0,7372.800,238.200,242.800,0.015,0.0,99.985,0.0,0.0,0.0,1494018663.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,4915.200,4548.600,8866.800,0.0,0.0,164.600,182.800,0.0,0.0,0.0,1990152192.0,173096960.0,21582143488.0,1.45034801152e+11,0.0,0.0,0.0,4915.200,164.600,182.800,0.020,0.010,99.970,0.0,0.0,0.0,1494018668.618
0.010,0.0,99.975,0.010,0.0,0.005,0.0,6553.600,6228.400,10588.600,0.0,0.0,232.600,243.600,0.0,0.0,0.0,1990066176.0,173109248.0,21582139392.0,1.45034878976e+11,0.0,0.0,0.0,6553.600,232.600,243.600,0.015,0.0,99.970,0.010,0.0,0.005,1494018673.618
0.020,0.010,99.970,0.0,0.0,0.0,0.0,2457.600,7153.400,11490.800,0.0,0.0,233.0,268.200,0.0,0.0,0.400,1989431296.0,173117440.0,21582147584.0,1.45035497472e+11,0.0,0.0,0.0,2457.600,233.0,268.200,0.020,0.010,99.970,0.0,0.0,0.0,1494018678.618
