"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.2.5K.osd1.dstat.log 5",,,,"Date:","05 May 2017 16:08:54 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.334,0.070,99.571,0.024,0.0,0.001,218603.123,7535349.068,0.0,0.0,0.0,0.0,1556.830,380.505,0.0,0.0,0.610,2129620992.0,172355584.0,24774103040.0,1.41704114176e+11,0.0,0.0,218603.123,7535349.068,1556.830,380.505,0.334,0.070,99.571,0.024,0.0,0.001,1494018534.148,
0.005,0.015,99.980,0.0,0.0,0.0,0.0,8192.0,4065.200,10727.200,0.0,0.0,198.400,218.200,0.0,0.0,0.400,2130223104.0,172355584.0,24774107136.0,1.41703507968e+11,0.0,0.0,0.0,8192.0,198.800,218.600,0.005,0.020,99.975,0.0,0.0,0.0,1494018539.149,
0.015,0.015,99.970,0.0,0.0,0.0,0.0,13926.400,4750.400,11314.200,0.0,0.0,208.400,252.600,0.0,0.0,0.0,2140282880.0,172367872.0,24774111232.0,1.41693431808e+11,0.0,0.0,0.0,13926.400,209.200,252.600,0.015,0.010,99.975,0.0,0.0,0.0,1494018544.149,
0.025,0.015,99.960,0.0,0.0,0.0,0.0,5734.400,4140.400,10933.0,0.0,0.0,208.200,225.200,0.0,0.0,0.800,2139893760.0,172371968.0,24774107136.0,1.41693820928e+11,0.0,0.0,0.0,5734.400,207.200,224.800,0.025,0.015,99.960,0.0,0.0,0.0,1494018549.149,
0.025,0.010,99.965,0.0,0.0,0.0,0.0,7372.800,5291.800,11721.800,0.0,0.0,215.200,249.0,0.0,0.0,0.400,2156478464.0,172388352.0,24774111232.0,1.41677215744e+11,0.0,0.0,0.0,7372.800,215.200,249.0,0.025,0.010,99.965,0.0,0.0,0.0,1494018554.149,
0.010,0.005,99.985,0.0,0.0,0.0,0.0,10649.600,5803.400,12492.600,0.0,0.0,215.600,236.600,0.0,0.0,0.0,2156732416.0,172392448.0,24774115328.0,1.416769536e+11,0.0,0.0,0.0,10649.600,215.600,236.600,0.010,0.005,99.985,0.0,0.0,0.0,1494018559.149,
0.030,0.010,99.960,0.0,0.0,0.0,0.0,2457.600,3585.800,10765.600,0.0,0.0,195.400,239.0,0.0,0.0,0.400,2158956544.0,172400640.0,24774119424.0,1.41674717184e+11,0.0,0.0,0.0,2457.600,195.600,239.400,0.035,0.010,99.955,0.0,0.0,0.0,1494018564.149,
0.020,0.010,99.955,0.015,0.0,0.0,0.0,5734.400,4748.600,11462.600,0.0,0.0,200.200,230.600,0.0,0.0,0.400,2159595520.0,172400640.0,24774119424.0,1.41674078208e+11,0.0,0.0,0.0,5734.400,200.0,230.200,0.015,0.010,99.960,0.015,0.0,0.0,1494018569.149,
0.015,0.005,99.980,0.0,0.0,0.0,0.0,16384.0,4098.200,10778.800,0.0,0.0,191.800,225.200,0.0,0.0,0.400,2163511296.0,172412928.0,24774123520.0,1.41670146048e+11,0.0,0.0,0.0,16384.0,191.800,225.200,0.015,0.005,99.980,0.0,0.0,0.0,1494018574.149,
0.010,0.010,99.980,0.0,0.0,0.0,0.0,5734.400,6268.400,12575.400,0.0,0.0,235.200,268.800,0.0,0.0,0.400,2162991104.0,172417024.0,24774123520.0,1.41670662144e+11,0.0,0.0,0.0,5734.400,235.200,268.800,0.010,0.010,99.980,0.0,0.0,0.0,1494018579.149,
