"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd1.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.40K.dstat.osd1.log 5",,,,"Date:","07 May 2017 02:22:31 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.350,0.127,99.445,0.075,0.0,0.003,8896634.822,4391763.881,0.0,0.0,0.0,0.0,2231.498,647.060,0.0,0.0,0.379,4363165696.0,16314368.0,18744287232.0,1.45656426496e+11,0.0,0.0,8896634.822,4391763.881,2231.498,647.060,0.350,0.127,99.445,0.075,0.0,0.003,1494141751.852,
0.020,0.010,99.970,0.0,0.0,0.0,0.0,4915.200,6245.200,9482.0,0.0,0.0,263.200,304.400,0.0,0.0,0.0,4364283904.0,16322560.0,18744414208.0,1.4565517312e+11,0.0,0.0,0.0,4915.200,263.400,304.400,0.020,0.010,99.970,0.0,0.0,0.0,1494141756.853,
0.020,0.010,99.965,0.005,0.0,0.0,0.0,14745.600,4052.800,8086.800,0.0,0.0,207.600,211.400,0.0,0.0,0.400,4363276288.0,16338944.0,18744422400.0,1.4565615616e+11,0.0,0.0,0.0,14745.600,207.600,211.400,0.020,0.010,99.965,0.005,0.0,0.0,1494141761.853,
0.005,0.020,99.975,0.0,0.0,0.0,0.0,0.0,4428.0,7440.0,0.0,0.0,181.600,190.600,0.0,0.0,0.0,4370845696.0,16338944.0,18744422400.0,1.45648586752e+11,0.0,0.0,0.0,0.0,181.600,190.600,0.010,0.015,99.975,0.0,0.0,0.0,1494141766.853,
0.010,0.010,99.975,0.005,0.0,0.0,0.0,7372.800,3969.800,7314.0,0.0,0.0,181.600,183.800,0.0,0.0,0.0,4370137088.0,16355328.0,18744422400.0,1.45649278976e+11,0.0,0.0,0.0,7372.800,181.600,183.800,0.010,0.010,99.975,0.005,0.0,0.0,1494141771.853,
0.010,0.010,99.980,0.0,0.0,0.0,0.0,3276.800,4734.800,8018.200,0.0,0.0,203.400,219.0,0.0,0.0,0.0,4373991424.0,16363520.0,18744422400.0,1.45645416448e+11,0.0,0.0,0.0,3276.800,203.400,219.0,0.005,0.010,99.985,0.0,0.0,0.0,1494141776.853,
0.005,0.015,99.975,0.005,0.0,0.0,0.0,6553.600,3792.600,7292.400,0.0,0.0,184.0,187.800,0.0,0.0,0.0,4372447232.0,16371712.0,18744418304.0,1.45646956544e+11,0.0,0.0,0.0,6553.600,184.0,187.800,0.005,0.015,99.975,0.005,0.0,0.0,1494141781.853,
0.010,0.020,99.955,0.015,0.0,0.0,0.0,5734.400,5170.400,9240.200,0.0,0.0,214.0,240.600,0.0,0.0,0.800,4380790784.0,16379904.0,18744426496.0,1.45638596608e+11,0.0,0.0,0.0,5734.400,214.0,240.600,0.010,0.020,99.955,0.015,0.0,0.0,1494141786.853,
0.010,0.010,99.975,0.005,0.0,0.0,0.0,13107.200,4347.400,8152.0,0.0,0.0,213.200,236.0,0.0,0.0,0.200,4382384128.0,16396288.0,18744426496.0,1.4563698688e+11,0.0,0.0,0.0,13107.200,213.200,236.0,0.010,0.015,99.970,0.005,0.0,0.0,1494141791.853,
0.020,0.015,99.945,0.015,0.0,0.005,0.0,8192.0,4600.200,7935.200,0.0,0.0,212.400,223.200,0.0,0.0,0.400,4382842880.0,16404480.0,18744426496.0,1.45636519936e+11,0.0,0.0,0.0,8192.0,212.600,223.800,0.025,0.010,99.945,0.015,0.0,0.005,1494141796.853,
0.170,0.870,98.620,0.330,0.0,0.010,1448345.600,34406.400,6070.800,9541.400,0.0,0.0,829.600,965.0,0.400,0.200,13.400,3927269376.0,1904640.0,704356352.0,1.64146663424e+11,0.0,0.0,1448345.600,34406.400,829.400,964.400,0.165,0.870,98.625,0.330,0.0,0.010,1494141801.853,
0.010,0.010,99.970,0.010,0.0,0.0,819.200,4915.200,4048.200,7777.800,0.0,0.0,218.400,214.600,0.0,0.0,0.400,3924549632.0,1912832.0,704356352.0,1.64149374976e+11,0.0,0.0,819.200,4915.200,218.400,214.600,0.010,0.010,99.970,0.010,0.0,0.0,1494141806.853,
0.020,0.015,99.960,0.005,0.0,0.0,0.0,5734.400,4847.200,8597.600,0.0,0.0,203.200,213.800,0.0,0.0,0.400,3925180416.0,1929216.0,704364544.0,1.64148719616e+11,0.0,0.0,0.0,5734.400,203.200,213.800,0.020,0.015,99.960,0.005,0.0,0.0,1494141811.853,
0.010,0.010,99.980,0.0,0.0,0.0,0.0,4915.200,6183.200,8820.0,0.0,0.0,232.200,253.600,0.0,0.0,0.0,3925180416.0,1937408.0,704356352.0,1.64148719616e+11,0.0,0.0,0.0,4915.200,233.0,253.600,0.010,0.010,99.980,0.0,0.0,0.0,1494141816.853,
0.050,0.205,99.515,0.230,0.0,0.0,44435865.600,2457.600,80352.600,46111204.200,0.0,0.0,2610.600,1274.200,0.0,0.400,0.400,3902803968.0,1945600.0,925290496.0,1.63950153728e+11,0.0,0.0,44435865.600,2457.600,2612.0,1274.400,0.050,0.205,99.515,0.230,0.0,0.0,1494141821.853,
0.150,0.486,99.019,0.335,0.0,0.010,118495641.600,8192.0,185267.600,123254574.600,0.0,0.0,6582.0,2973.0,0.400,0.0,0.0,3908034560.0,1953792.0,1517256704.0,1.63352948736e+11,0.0,0.0,118495641.600,8192.0,6581.400,2972.800,0.155,0.486,99.014,0.335,0.0,0.010,1494141826.853,
0.180,0.510,98.974,0.315,0.0,0.020,124843622.400,11468.800,215924.600,129843219.400,0.0,0.0,6173.800,3041.600,0.200,0.600,0.400,3905032192.0,1970176.0,2141958144.0,1.6273123328e+11,0.0,0.0,124843622.400,11468.800,6174.600,3042.0,0.175,0.510,98.979,0.315,0.0,0.020,1494141831.853,
0.090,0.431,99.189,0.280,0.0,0.010,107915673.600,4915.200,180376.400,114369057.800,0.0,0.0,4652.200,2692.800,0.0,0.200,0.0,3898380288.0,1978368.0,2679992320.0,1.62199842816e+11,0.0,0.0,107915673.600,4915.200,4654.400,2692.400,0.090,0.436,99.184,0.280,0.0,0.010,1494141836.853,
0.145,0.416,99.149,0.265,0.0,0.025,109536051.200,11468.800,179323.0,113412601.0,0.0,0.0,6233.600,2696.0,0.200,0.400,0.0,3907317760.0,1994752.0,3230162944.0,1.61640718336e+11,0.0,0.0,109693337.600,11468.800,6232.0,2698.600,0.145,0.411,99.154,0.265,0.0,0.025,1494141841.853,
0.160,0.526,98.993,0.315,0.0,0.005,127455232.0,0.0,203996.0,134337790.0,0.0,0.0,7277.200,3115.600,0.200,0.600,0.0,3900989440.0,1994752.0,3867955200.0,1.610092544e+11,0.0,0.0,127297945.600,0.0,7276.800,3113.0,0.160,0.531,98.988,0.315,0.0,0.005,1494141846.853,
0.145,0.456,99.049,0.330,0.0,0.020,117089075.200,12288.0,184131.800,119012128.600,0.0,0.0,6043.0,2884.800,0.400,0.400,0.400,3919851520.0,2011136.0,4450566144.0,1.60407764992e+11,0.0,0.0,117089075.200,12288.0,6043.600,2885.200,0.145,0.451,99.054,0.330,0.0,0.020,1494141851.853,
0.100,0.451,99.284,0.155,0.0,0.010,105094348.800,0.0,184352.0,113787436.600,0.0,0.0,6409.800,2611.800,0.200,0.200,0.400,3898662912.0,2011136.0,4978085888.0,1.59901433856e+11,0.0,0.0,105094348.800,0.0,6406.600,2611.400,0.100,0.451,99.284,0.155,0.0,0.010,1494141856.853,
0.135,0.441,99.119,0.290,0.0,0.015,114968985.600,7372.800,150479.200,118893775.0,0.0,0.0,5407.400,2846.800,0.400,0.600,0.0,3902410752.0,2027520.0,5552467968.0,1.59323287552e+11,0.0,0.0,115126272.0,7372.800,5410.600,2849.400,0.135,0.446,99.114,0.290,0.0,0.015,1494141861.853,
