"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","client0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.5K.client0.dstat.log 5",,,,"Date:","05 May 2017 22:03:12 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
1.422,1.716,96.455,0.373,0.0,0.034,11050380.833,17813657.423,0.0,0.0,0.0,3.263,2520.958,9394.606,0.000,0.0,3.828,2678874112.0,175644672.0,1.65288431616e+11,637243392.0,0.0,3.263,11050380.833,17813657.423,2520.958,9394.606,1.422,1.716,96.455,0.373,0.0,0.034,1494039792.212
3.011,3.121,93.853,0.0,0.0,0.015,0.0,6553.600,40942.0,3156.800,0.0,0.0,1629.800,6968.400,2.800,0.0,0.400,2680832000.0,175644672.0,1.65288439808e+11,635277312.0,0.0,0.0,0.0,6553.600,1631.200,6973.200,3.010,3.120,93.854,0.0,0.0,0.015,1494039797.213
2.811,3.136,94.003,0.005,0.0,0.045,0.0,18022.400,40945.0,2154.800,0.0,0.0,1689.800,5851.800,2.800,0.0,0.0,2680758272.0,175652864.0,1.65288439808e+11,635342848.0,0.0,0.0,0.0,18022.400,1689.800,5851.600,2.816,3.141,93.993,0.005,0.0,0.045,1494039802.213
2.839,3.144,93.893,0.0,0.0,0.125,0.0,14745.600,40836.0,2972.800,0.0,0.0,1692.800,5508.400,2.400,0.0,0.400,2681589760.0,175652864.0,1.65288439808e+11,634511360.0,0.0,0.0,0.0,14745.600,1692.600,5516.800,2.844,3.144,93.887,0.0,0.0,0.125,1494039807.213
2.905,3.220,93.790,0.005,0.0,0.080,0.0,8192.0,43262.200,5198.800,0.0,0.0,1781.200,6434.600,2.800,0.0,0.0,2673467392.0,175661056.0,1.6527364096e+11,657424384.0,0.0,0.0,0.0,8192.0,1781.600,6425.200,2.895,3.220,93.800,0.005,0.0,0.080,1494039812.213
2.816,3.136,93.993,0.015,0.0,0.040,0.0,7372.800,41161.400,2817.0,0.0,0.0,1581.400,5078.0,2.200,0.0,0.0,2674327552.0,175661056.0,1.6527364096e+11,656564224.0,0.0,0.0,0.0,7372.800,1581.200,5079.0,2.816,3.136,93.993,0.015,0.0,0.040,1494039817.213
2.780,3.220,93.919,0.010,0.0,0.070,0.0,9830.400,43985.200,5749.200,0.0,0.0,1650.800,6237.600,2.200,0.0,0.400,2673364992.0,175669248.0,1.6527364096e+11,657518592.0,0.0,0.0,0.0,9830.400,1650.600,6235.200,2.780,3.220,93.920,0.010,0.0,0.070,1494039822.213
2.893,3.228,93.753,0.0,0.0,0.125,0.0,8192.0,42040.800,4041.0,0.0,0.0,1669.0,6339.800,2.800,0.0,0.0,2674126848.0,175669248.0,1.6527364096e+11,656756736.0,0.0,0.0,0.0,8192.0,1669.0,6341.600,2.899,3.228,93.748,0.0,0.0,0.125,1494039827.213
2.731,3.231,93.962,0.025,0.0,0.050,0.0,14745.600,41883.200,3543.400,0.0,0.0,1792.200,5820.0,2.200,0.0,0.400,2676273152.0,175677440.0,1.65273645056e+11,654598144.0,0.0,0.0,0.0,14745.600,1792.200,5822.200,2.731,3.226,93.967,0.025,0.0,0.050,1494039832.213
2.815,3.170,93.906,0.005,0.0,0.105,0.0,6553.600,42047.0,4184.600,0.0,0.0,1612.400,5602.0,2.800,0.0,0.200,2677624832.0,175677440.0,1.65273645056e+11,653246464.0,0.0,0.0,0.0,6553.600,1612.400,5598.800,2.815,3.175,93.901,0.005,0.0,0.105,1494039837.213
2.841,3.296,93.803,0.010,0.0,0.050,0.0,18022.400,43027.400,3590.600,0.0,0.0,1777.0,7069.0,2.200,0.0,0.200,2679836672.0,175685632.0,1.65273645056e+11,651026432.0,0.0,0.0,0.0,18022.400,1777.200,7071.800,2.841,3.291,93.808,0.010,0.0,0.050,1494039842.213
2.832,3.157,93.966,0.010,0.0,0.035,5734.400,10649.600,44230.200,4917.800,0.0,0.0,1726.400,6422.800,2.600,0.0,1.200,2683551744.0,175685632.0,1.65273677824e+11,647278592.0,0.0,0.0,5734.400,10649.600,1726.200,6420.200,2.832,3.162,93.961,0.010,0.0,0.035,1494039847.213
2.826,3.207,93.942,0.010,0.0,0.015,0.0,14745.600,44296.600,6016.600,0.0,0.0,1735.800,7008.600,1.600,0.0,1.0,2687082496.0,175693824.0,1.6527368192e+11,643735552.0,0.0,0.0,0.0,14745.600,1736.0,7009.800,2.827,3.202,93.946,0.010,0.0,0.015,1494039852.213
3.015,3.210,93.705,0.010,0.0,0.060,0.0,11468.800,45253.200,7026.0,0.0,0.0,1742.200,6163.0,2.400,0.0,1.0,2689544192.0,175702016.0,1.6527368192e+11,641265664.0,0.0,0.0,0.0,11468.800,1742.200,6161.400,3.010,3.215,93.705,0.010,0.0,0.060,1494039857.213
2.822,3.212,93.936,0.0,0.0,0.030,0.0,13107.200,45158.0,6701.200,0.0,0.0,1677.800,6127.0,3.0,0.0,1.200,2692120576.0,175710208.0,1.65273694208e+11,638668800.0,0.0,0.0,0.0,13107.200,1678.0,6134.200,2.827,3.212,93.930,0.0,0.0,0.030,1494039862.213
