"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","osd0.nobjs-scaling.skyhook-pg0.wisc.cloudlab.us",,,,"User:","jlefevre"
"Cmdline:","dstat -av --epoch --integer --noheaders --output 8osds.vary.nobjs.5K.osd0.dstat.log 5",,,,"Date:","05 May 2017 22:03:38 CDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"memory usage",,,,"paging",,"dsk/total",,"system",,"total cpu usage",,,,,,"epoch"
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","used","buff","cach","free","in","out","read","writ","int","csw","usr","sys","idl","wai","hiq","siq","epoch"
0.364,0.099,99.483,0.053,0.0,0.002,4514686.184,6592871.757,0.0,0.0,0.0,0.0,2034.292,521.328,0.0,0.0,0.531,2825129984.0,24653824.0,25212911616.0,1.40717498368e+11,0.0,0.0,4514686.184,6592871.757,2034.292,521.328,0.364,0.099,99.483,0.053,0.0,0.002,1494039818.684
0.005,0.010,99.980,0.0,0.0,0.005,0.0,0.0,3959.600,8619.800,0.0,0.0,165.600,171.200,0.0,0.0,0.0,2827104256.0,24653824.0,25212915712.0,1.4071552e+11,0.0,0.0,0.0,0.0,165.800,171.200,0.010,0.005,99.980,0.0,0.0,0.005,1494039823.685
0.005,0.010,99.985,0.0,0.0,0.0,0.0,4915.200,3824.200,8709.200,0.0,0.0,155.0,173.200,0.0,0.0,0.0,2827055104.0,24662016.0,25212915712.0,1.4071556096e+11,0.0,0.0,0.0,4915.200,155.0,173.200,0.0,0.010,99.990,0.0,0.0,0.0,1494039828.685
0.005,0.015,99.975,0.0,0.0,0.005,0.0,0.0,4789.600,8921.800,0.0,0.0,176.600,188.0,0.0,0.0,0.0,2827055104.0,24662016.0,25212915712.0,1.4071556096e+11,0.0,0.0,0.0,0.0,176.800,188.400,0.005,0.015,99.975,0.0,0.0,0.005,1494039833.685
0.0,0.010,99.990,0.0,0.0,0.0,0.0,2457.600,3306.600,7873.600,0.0,0.0,140.600,141.200,0.0,0.0,0.0,2827046912.0,24670208.0,25212915712.0,1.4071556096e+11,0.0,0.0,0.0,2457.600,140.400,140.800,0.005,0.010,99.985,0.0,0.0,0.0,1494039838.685
0.005,0.010,99.985,0.0,0.0,0.0,0.0,0.0,3820.0,8434.200,0.0,0.0,159.800,167.200,0.0,0.0,0.0,2827046912.0,24670208.0,25212915712.0,1.4071556096e+11,0.0,0.0,0.0,0.0,159.800,167.200,0.0,0.010,99.990,0.0,0.0,0.0,1494039843.685
0.350,0.355,98.900,0.390,0.0,0.005,10024550.400,81100.800,7185.600,11618.800,0.0,0.0,867.400,714.200,0.400,0.400,9.400,2753196032.0,2310144.0,20848918528.0,1.45175769088e+11,0.0,0.0,10024550.400,81100.800,868.0,715.0,0.350,0.360,98.895,0.390,0.0,0.005,1494039848.685
0.250,0.825,98.480,0.440,0.0,0.005,1701478.400,141721.600,4896.200,10185.800,0.0,0.0,759.600,772.200,0.200,0.0,6.0,2189361152.0,3346432.0,243728384.0,1.66343757824e+11,0.0,0.0,1701478.400,141721.600,759.200,771.800,0.250,0.820,98.485,0.440,0.0,0.005,1494039853.685
0.005,0.010,99.985,0.0,0.0,0.0,0.0,3276.800,5957.0,10535.200,0.0,0.0,211.400,235.200,0.0,0.0,0.0,2188791808.0,3354624.0,243728384.0,1.66344318976e+11,0.0,0.0,0.0,3276.800,211.200,234.800,0.010,0.010,99.980,0.0,0.0,0.0,1494039858.685
0.005,0.010,99.985,0.0,0.0,0.0,0.0,2457.600,3454.800,8334.200,0.0,0.0,146.200,159.400,0.0,0.0,0.0,2192596992.0,3362816.0,243728384.0,1.663405056e+11,0.0,0.0,0.0,2457.600,146.200,159.400,0.0,0.010,99.990,0.0,0.0,0.0,1494039863.685
