read_ns,eval_ns
176546197,1355789
179760455,1593723
180146990,1999510
180956734,1537847
181752095,2372590
182626112,4493158
213708382,1606202
217051902,1447621
227450267,2339119
227862964,1765046
227082492,2950885
226967188,1711638
227654880,3408695
230521827,3412163
190506989,1171754
215608771,1418244
218364395,2223963
219732822,1847763
220667042,2006701
219013345,1943979
218376588,1823466
222312574,1868112
186461673,1036190
189296626,1208430
205398161,1831848
209945970,2591160
204808474,2743560
205852493,2361585
207028382,2619263
183127902,1035896
183495228,1120791
197996639,1791938
200418352,2205725
198221844,1736046
199134416,2987851
199519047,3792942
145638545,1099788
179636469,2208124
179414138,1793405
178555090,1782308
178889605,1749179
181608235,5153554
155377949,969772
204545649,1896885
204933942,1813775
204443317,2433366
203075597,1851858
207469958,2287974
202433260,2197897
165195205,956159
248447499,1950066
248813001,1812935
249463778,1664867
249361975,1847261
248268216,1761447
248357728,2854635
249974103,4646446
225929319,958871
228598425,1049937
202655819,1911841
202613242,3050299
204943587,2079022
204215373,1859736
204738267,2022907
202045307,3563685
196755195,5207855
156425052,1069166
176587833,2074032
177941149,2253959
175486072,1763590
177122140,1649113
179743561,2540125
185395927,1049068
199456352,1721335
202965496,1515651
202661576,1636421
205882274,2101697
205623541,1664991
208420191,1348457
201725569,1465239
201397823,1683913
196902787,1130512
197507089,1553241
199703321,1648440
198357399,1549866
197199463,1613266
238222371,1461260
238640611,1479015
239212854,1102614
242667461,1432071
244453916,1952603
243392379,1436769
245751982,1625839
246000073,2058943
247641302,3256893
223946402,1097738
224373231,1569366
224330714,1561414
223944769,959160
223896301,1534890
225694569,1475750
224341399,977963
225169457,804286
245669629,1140356
248352388,1756225
248726996,1659976
250067282,2222259
247398034,1200638
247363994,1353565
246561934,1810854
245255496,1434316
244490239,1632907
223982961,1094066
221605733,1080287
223393975,1620116
223249692,1539868
223688822,1383991
224075610,2814636
223494864,1615222
223309963,2544081
224628313,1185307
224264095,1031060
226326319,1930320
226237359,1647250
226611068,2861947
226195112,3191681
226111664,2240039
220910283,1569645
216815917,1246165
217486167,1128593
222982737,1704878
222856111,2115141
224550120,2928988
224343009,1793018
222185901,2516733
221663786,3551498
207919634,1101925
219738588,1175838
224436018,1843685
225570247,2110430
223889964,1590365
224550992,2050028
226572970,1993562
226924474,2736836
173652175,1141414
152479483,1473425
153361261,1573059
149562718,954776
150404330,1197503
183570442,1215694
201055928,1850875
201713571,1696121
201480971,1748807
202598122,2049137
198525494,1916703
196169729,2078282
190478047,1147376
201540683,2242041
204020588,1999745
202953362,1857520
205438046,1811419
200515260,3322798
202496463,3182001
187337166,1173518
185417550,1194917
193866516,1533639
194533324,1689781
194197762,1707311
194833490,1890573
198936424,1672299
172040572,1523368
172037374,1417141
177367303,1660336
178430966,1640592
181262299,2619864
179322680,2468063
194391178,1666975
194904420,1802834
194258522,1648000
195273912,950496
198300889,1203582
201600471,2060794
201383825,1845338
182074821,1735189
182435902,1847203
182147820,1773948
182350524,1919386
164026203,1098735
169736971,1036310
204692538,1738791
204599901,3514021
205095940,2843892
208152239,2342495
205415921,2322232
200881904,3158350
200726838,5387843
201487406,1682146
202438993,2545644
201739978,1794330
202273033,2151959
202606801,2679448
205194900,2984797
201503246,3557693
179957252,1018069
200118263,1434289
202365827,1640294
203963941,1749257
205060925,1668875
204056761,1759025
203371657,2755452
218141200,854647
221875961,1306207
222482452,1568658
223685218,1249843
225257692,1545612
225952735,1448213
226301551,2021598
228340286,1852131
219780834,1122756
219161364,1171009
219985946,1561407
223389510,1298948
222986939,1689272
223041142,2121242
224607071,2562381
222844358,2062728
219654889,1007432
221053248,1108284
220996624,1502224
221665511,1517077
221614194,1548756
223265649,2332900
222946015,1743435
222370210,2398328
218212076,1008620
222143522,1641096
224496210,1771196
225125084,1690563
223548723,2475487
225303660,1617152
225383789,2040855
225209778,2267430
200299515,1042592
200673984,1130749
200655113,1332704
208541002,1847876
209402819,1646411
209836984,1938779
209444168,2170337
171066572,1604759
172412418,1510974
164126880,1073428
165465831,1490950
165240095,1616069
179002730,1735752
180296564,1684358
181060466,1884695
180522719,2662970
164079463,1375118
167141498,1225467
168683336,1570324
168824685,1861045
169269470,2624553
174509105,1740106
177736303,2044824
175129239,2131981
172698456,1564232
175191800,1519940
171763560,1613253
171663161,851660
174922330,1457686
175638084,1332738
176439645,1765517
178115380,2580288
177454082,2648468
169145916,1676763
170885910,1539270
171693496,2455877
149647755,1534241
145881236,1543453
166001516,2052020
168045361,3599394
170552984,1533389
168026154,1760665
170362811,3166553
169060347,2907686
169818122,2757358
151305492,1250397
181967963,1450005
182377653,1536532
185690435,1923255
186664059,1828854
184222885,1977278
184110871,1748844
188408839,1579257
190332468,1934212
204114234,2060295
200870030,1902091
204299535,1973267
