read_ns,eval_ns
15978424,673415
13609108,647652
13523911,637095
14433161,681031
14429285,675334
14015313,650613
13944421,663529
14581289,679620
14000852,644723
14339476,659793
13089295,608652
13823230,671668
12842526,622401
14708360,672893
12414117,608449
11669572,562622
13816633,645218
14353916,666091
14457043,663175
14410166,667563
13499950,680721
14023015,649182
14236240,641056
14483074,680450
13596068,653202
14392729,673824
14780827,688916
14648364,668835
14133895,672389
14634036,705046
13391248,619699
14277192,664356
14048857,648855
14974533,695801
14276697,654182
14657769,692953
14003181,705447
14605776,669780
13674395,666564
14639479,679218
13476744,661006
13534630,630274
14073478,655641
14189210,681802
13463621,648441
12312568,579650
14147923,685027
13513344,631640
14528770,678031
14512144,706071
13714159,658144
13984629,660844
14455822,680973
13999277,657312
14083236,664510
14653965,677347
14212797,677358
13053776,609529
11991685,578396
13389996,618402
12093116,585146
13834317,643167
11737910,569977
12842274,608003
12386099,610369
12548267,583028
12010493,564433
13114284,674348
12039825,579558
11168115,538645
10306598,501050
13360348,592766
12571913,603758
13213960,635670
13322273,617493
14281251,673424
14169984,647260
13950413,647738
14000681,664617
13507863,611527
13112662,619865
14568094,680727
13163363,613667
12130087,579234
11403148,528797
10687478,493682
10201838,486319
13001681,627251
12344556,576710
12477596,600184
14297272,681900
13077883,582832
11731449,563449
13789814,666496
11952141,594808
13268287,613990
14363301,665936
14005726,695486
13248188,621591
11890846,542206
11349777,544590
13788113,628448
13233669,652476
14167697,639584
14122931,669666
14388449,672971
13524771,674828
14390494,655697
13623045,665616
14287833,659857
14711694,683891
13029297,615601
12550715,592042
12020918,579103
14224225,665166
14477990,710887
14420676,672023
13111879,675820
12737363,569481
12644670,603487
11926062,573716
11496003,545811
10728924,503465
10560012,514980
10459606,510038
13086537,644914
10994784,532846
12869145,602179
12299788,610491
14375819,672602
14755256,682829
13423373,639900
12769539,601079
12229098,583095
11641775,546655
12337720,560940
11173102,527216
13334512,601706
12872117,626965
13288472,654806
12862571,614624
12107560,556458
11477064,535243
13658680,626424
11688893,555546
13161581,627581
