read_ns,eval_ns
75564025,8383348
75202713,9529147
70528705,13885974
71667849,11016781
73461890,9565288
72792934,9359548
73295233,10195828
72865450,8960748
70118251,9308080
71414397,9373280
64904852,9196297
63963644,8692244
69014229,8906223
68408475,10714547
68679962,9119568
69770584,10074326
71462072,9383938
72214950,8817014
73038966,9419977
73171938,9713352
69738473,9179639
70619417,8893291
72860017,9532580
73395620,8926853
70151233,9317684
70872941,8880953
68901698,9262335
69918351,9346760
67807759,8828603
68580371,9735646
68725043,9245052
69674371,9063470
71981371,9083604
71948040,8905304
73220280,9571598
73694015,10569685
72176291,9370151
72846008,8924936
73175415,9457763
73420507,9537106
68463006,9571270
68679250,10533477
68164628,9151299
67860368,9914766
71960998,9903139
72640009,9443859
72398618,9351342
72870457,9094551
72659107,9666766
72298402,9248045
72086172,9394054
73017250,8905927
73474957,9412739
73477327,9507526
72662545,9360654
73557084,9072948
72988401,9410064
72726200,9093103
62556780,9119725
64444997,9377586
64720511,8846176
67136730,8844010
63738039,9759754
64082816,9281909
66276710,9643671
65851753,8561945
67794369,9651360
68434767,9445308
71313318,9206971
71363327,9761304
70899074,8924811
70860870,8649962
72314619,9400455
72616318,8655232
73006398,9970985
73020850,9237810
74279570,9416865
73471624,9305290
70447301,10042769
70621162,8565400
72305945,9811416
72209443,9059416
70074865,9586039
69628548,11481430
71556987,9342676
72503422,9258250
73154499,9385995
73832997,8994346
72545169,9404655
73226298,9201115
73877232,9505231
73615105,9412884
74303969,9952261
74251963,9376906
70769039,9543329
71792110,9390147
73636219,9872084
73706840,9162787
70187535,9275735
70886713,10178372
67162116,9150953
68300306,9767570
72010383,9490471
72242469,9343828
72248229,9940675
72634338,9472925
72723189,8788229
72505751,9132006
73913639,9473537
73786573,8754896
35079687,8150562
73913717,9594295
73373184,8382436
72748266,9377935
73155080,10395651
73039291,9383289
73842681,9054550
72898250,9916655
73198123,9036298
72392773,9503056
72472000,9994612
72029995,9876708
72165864,9024367
71620788,9513291
72411710,8891503
73006340,9030067
72548750,8865745
71252090,8978757
72402043,8803324
74037465,9905908
74610530,9282452
74630396,9457187
73859469,9388893
72204865,9325007
72248102,9055891
72746012,9505742
72801403,8912135
72852975,9387951
72757000,9398562
71738880,9334116
72780132,8943294
72582633,9898831
72263242,8843375
73176522,10079878
72912146,8977630
70512066,9543684
69989313,9442579
71331823,9854317
71090425,8937274
71092980,9479226
71538270,9289449
70395054,10127857
69698286,8122425
72885793,9858032
73368712,9516564
72434036,9810749
73002425,8882268
72828611,9341273
72925399,9264819
73092642,9901982
73376350,9011080
72929451,9380949
73083196,9011181
73673269,8917576
74073192,8860976
73578586,8979115
73962948,9339313
72873375,9561187
74534594,9327153
72951290,9356364
73191054,9012545
71414673,9312904
72647219,9329124
72703364,9428893
73403233,9404930
74115890,9794463
75078973,9443631
70623356,9855059
70946369,11117708
73213723,9292470
73784609,8993756
73313703,9390532
73828155,9048871
73925553,9830004
74434445,9433355
71763342,9275448
71861339,8837842
71780734,9369353
72337471,9411924
71421302,9739983
72199337,10982713
72213141,9711273
72655901,8938782
72844981,9383301
73003794,9336240
73411113,9839016
73723746,9788266
73063924,9463429
73099258,8943955
73338700,10045635
73151915,9363973
71108499,9258143
72139385,8332115
70247940,9216534
71477053,8377182
69988132,12473597
72151313,9777481
73232380,9894370
73492853,8959182
72082214,10157186
72570690,8582183
70147635,9634336
71269087,9334707
72391867,9383103
73003108,8982176
74371348,9908070
74446622,9053464
71594376,9487062
72001643,8254238
73589018,9420046
73543227,8622250
72739208,9331182
72966616,8347354
72418081,9367501
73310024,9324637
72706356,9855002
73155357,9368006
72244640,9383497
72347370,8956950
69376592,9141868
70396923,8861072
72469550,9912822
73344451,9518418
72921649,9956633
72853648,9308553
70479292,9858620
70146837,9307076
71452123,9268004
71609281,8953745
73460444,9847324
75107492,8888304
72544788,9850333
73138287,8826587
70923725,9901421
70950769,8923025
73363804,9459590
73868944,9331171
73688914,9745156
73640210,9366020
74080441,9729321
74179601,7860600
69200216,9224901
70206124,8387242
73236832,9443479
72668669,8945912
72853622,9410125
73540855,9369381
73254520,9412502
73430999,8915100
74541051,9446101
74296246,9371880
71954997,9443048
73072262,8885460
73371999,9245871
73846467,9301113
73174350,10509181
72426869,8962832
73075118,9413568
74064811,9957122
73256214,9456289
73268102,9324647
72908090,9879539
72823305,9334875
73257031,9460770
73945569,10981291
67515473,8842537
67088371,9628607
73291603,9127404
73258878,8411506
73742676,9481769
73719519,9664181
71938301,9953997
71673743,8931437
69882799,9310097
70030542,8704219
70829869,9774437
71742025,9401686
71392598,9490501
71942929,8332576
73624181,9873165
73553531,8947396
71970021,8928681
71627182,8368953
72039778,8920974
71048518,8899005
70150898,9859612
70136590,8957362
67170099,8908983
67402585,11332639
67715612,9632895
68289204,9569274
68111452,9249999
69205769,10225606
70806011,8891543
71832970,8564381
72214287,9006836
71930739,8878903
73404278,9638512
73983118,9020099
72615916,9379158
73135463,9357540
72618634,9361891
73081714,8681562
73114907,9315440
73122878,8845169
73159853,9993146
73013947,9263243
74291222,14751752
76129238,12937128
73005555,9489301
72569856,8435951
72859841,9476880
72522816,8823890
70406403,9368984
71614812,8665826
72209033,8908607
72029512,8393964
72235267,9924118
72736500,9427842
68034650,9231592
69455601,10713727
73447445,9281406
74695108,9433665
71833792,9467154
72258897,8946156
72495956,9700796
72477465,8952717
72845268,9843657
73154743,9215653
71616260,9885943
71184128,11141154
71446066,9697423
71808523,9344072
72596661,8611043
73075454,8571027
73266192,9588624
72274325,8397563
73006893,9409491
72991893,11171693
72525023,9377424
73145289,9324770
71568901,9882918
72490390,9425918
70885426,9350626
71580338,8680775
72412457,9820642
73109632,8320180
72805128,9835848
73359419,9301307
71449163,8954042
70855101,8520238
73338423,9662154
74258188,9434358
68759836,9222554
69730568,9434200
67797864,9164512
68635976,9333407
72415532,9303550
73973343,8975407
72020577,9540993
72416890,8913420
72751660,10047323
72216125,8933015
72925095,9422323
73315392,8469942
36623008,8275006
64145644,11439621
64106090,9234441
72230982,9455418
72729829,9079621
50199160,9353903
54295358,9506322
55255442,9016355
52325910,8279304
61012214,9634757
60760741,9097157
60483882,8773099
60243569,9778085
58904170,9305024
59308125,9242010
59211414,9769469
58975791,8958061
59882081,8878489
