read_ns,eval_ns
36390949,13520089
36402940,16360143
35994694,15556653
34627155,13156731
34707474,14731997
42261737,15204258
38897168,13805044
38000536,15828420
36833908,13832412
44301278,14794087
38464525,15962770
34737401,14654972
44593356,14715834
35078575,15004571
40871043,15892886
40641935,15868654
35616551,15841402
43896243,15306580
35561933,13447102
35988448,15026061
43782086,14333923
43693265,14785396
43972120,15188605
36327598,14999459
37465024,14206649
35738661,14268168
41315692,14385951
38167444,14674837
38734874,14609893
34975502,15157622
43979101,14094329
46221255,15196277
34784638,14701549
39521159,15353095
44231764,15729032
43381774,15345439
36163466,14879542
36429527,14105324
35059421,14877027
38074574,14482591
36999423,15555927
39234386,15287821
35481778,15883317
38685490,15083475
43640452,15938809
38101299,14483738
44293459,14894068
34438158,14313631
38197099,14559928
36486745,14844448
44060089,15427529
34805379,14206924
42569714,14118843
43720233,15412603
39069322,15050534
36961363,14729765
34947486,14575447
35813481,14861871
41525710,13502630
35211358,15103930
36074501,12995983
42626705,15478778
41501429,14837405
40464777,15488673
37078726,15770025
35928523,14539150
37359502,15179903
36056886,14829337
35156017,15902573
40234634,14596878
36130967,15743558
37718815,15882889
38865897,14785294
34686280,13584073
35380753,14565483
37639935,14590444
39879257,14411019
40887215,15423812
39380229,15029971
45021135,14579550
36902854,15740164
37256241,14580640
35682702,15023931
43948662,14476397
44112756,15828671
41633591,13951729
37281771,14927783
43906513,13932239
36247001,15930418
35816527,15102357
44059885,14887146
37083284,15734756
41821760,14409659
44654502,15157557
41378280,15025840
36124942,13716456
41870441,14156067
38183487,15143436
43878111,15772408
43750128,15308999
37043936,14965862
35395660,15297496
43212279,14654007
37227589,15325648
41531553,15259823
35661500,15665745
40608344,15840205
35286618,15774990
42525069,15500850
45869038,14884863
34595478,14574680
41429962,14013912
36204758,15771279
43652056,15237945
44792313,13951797
35809706,14321516
35674697,15074384
45174510,14981106
40773014,15667594
41804135,15642663
35077571,14447097
35853719,14910103
37373944,14163278
45742690,14643884
44494028,15081215
38841597,13939663
43232194,15228930
44462704,14802261
34637427,14182551
44275259,16607443
36391449,15551693
37359244,14510387
44845977,16256839
43101009,14500535
35589490,14328484
43875454,15771705
39584743,14750281
39595764,14303557
39196913,15270852
43705800,14978470
39830131,15831319
40486742,15085400
35978128,14559703
40988302,14151557
41659658,14493244
36694402,14117214
35134635,13764345
43526169,14120678
35286937,14239051
43905743,15076780
35832697,14533209
36372354,14130992
37614632,14716771
34617308,13803795
43449865,15798662
43855672,15519499
45429530,14561348
35541252,14263526
34793431,15045403
35620986,15241926
40754055,14975572
39767701,13962651
34769309,14898862
39723013,14889130
35296872,14959655
38714757,15494226
34687287,14533540
37539481,15250942
36118791,14101703
41052600,15814069
34637377,14039658
35956569,14999539
34435637,14268234
34934124,13963452
43036982,14680281
36020848,14933010
42575348,14728656
36109984,15127095
35915301,14856922
35721507,13823448
35074698,16470745
35433422,15158841
45538743,14653926
36922041,15091545
35125759,14941954
40272670,14895127
34931030,14867929
35565378,15389286
41471081,13976071
45775169,15334055
43406288,16047264
41275024,15191494
39766935,13680412
36793712,14365864
35979662,14839591
36188071,14401392
43330009,14646467
43920947,15314672
45010244,15763334
45164280,14155528
37471043,14509960
45657403,15831590
36723749,15371979
38182716,15025107
35307134,15894212
42306641,15382103
36593520,14440152
42763804,14523018
35584486,14434891
37193400,14752524
43207674,14591342
44283033,15030450
43162191,16455515
41032278,14669018
34637994,14827563
36986627,14981716
38825973,15201730
34679560,15102715
36411194,15986388
34841424,14700758
37523288,14828683
43475102,14706001
43790528,14729029
35557374,14932274
38919118,14396615
43119866,14547267
35710986,15790479
38192217,15125177
43971381,14861232
37596096,14644121
39144970,15466525
44222886,15305683
35691891,14675697
39535653,15107005
35937534,15802457
41427492,15797608
44140856,14996006
45927493,14614078
43850818,15356620
37353951,14655473
44145141,15594818
39850038,14917516
38286450,13414643
45288699,16544594
44013168,15120683
43585474,14871942
34503491,13545031
44147795,13998507
34668417,14847504
35842955,15230527
44568400,15185956
43250422,15374956
39911831,15803616
37982351,13985215
39153580,14644545
37929184,15704540
43173016,15341290
35064390,13562494
35117440,15366517
46086197,14177932
44376076,15373810
36182585,13957438
46730892,15762536
34916339,14996759
35688105,14446417
35340960,14733823
36989968,15139744
43249067,13838001
35368653,13835028
40564296,14654518
43944326,15263617
43607217,14694714
35651971,14442866
44260740,15207750
45159668,15546223
35442462,14673767
35409646,15416063
38961506,13274981
34719729,14009811
44737662,15203390
36740268,15123648
41997713,14492002
44495561,14744264
38395546,14599455
39000962,13998273
43322370,14819476
43470436,14815350
39074916,15155715
36005495,15059924
44801768,15634715
44301333,14489016
45042538,15866019
41933968,15815215
36888352,14857981
36603953,15525394
39858201,15402901
39449486,15024280
36438536,14400318
43743542,14017997
36373427,15302201
38040399,14924250
43365940,15939187
37964864,15874700
44389135,14696653
36031363,15763196
41021978,14471040
44421072,14425226
35984260,14731528
35737672,14998538
38036681,15114932
41169032,14616946
36456958,15201614
44183193,15918763
40803429,13836920
36875950,15330306
45575379,14555381
36864576,14413541
35954165,14951070
43758203,13757465
35191969,14255583
40178464,15529986
35620783,15825734
37555983,14644912
35116503,14904797
34644236,14309073
37630342,14724767
34487255,14042520
43231120,15169385
44156532,15834850
46027005,14742293
43820518,14409850
35585379,14985410
38571712,14906416
44560320,14653622
38612032,15119553
42034281,14623401
43459912,14450230
39538660,15986184
35805907,14992816
35777916,15256076
39446056,14540313
38582502,14924216
40050587,15169647
43032639,14962405
34610266,14853196
44037053,15626219
45733885,15444909
39519027,14744155
34689834,15055534
37625449,14999665
36302521,15451250
43446482,15829033
35576396,14519621
36064474,15844452
35018286,14434956
43048082,14517559
44226941,15210913
36607835,14593611
37730199,15075360
38385947,14563603
34960458,14340223
37262807,14497677
43915226,14658231
43294600,14923308
42649098,14651612
44198267,15584480
38366211,15854177
44510420,15587119
34831289,14477277
39973983,14675285
43137585,14581795
43688133,14897319
43486249,15832477
34078315,14550558
36766446,14714982
38728731,15454647
43125937,15201900
38069302,14568630
43568036,14692446
43874091,15233050
35189463,15134391
41539874,15915810
43370126,15889144
38341064,15823978
35376909,15023761
43351173,15931021
44330236,15839357
43670810,15283503
41906776,14832619
35582192,15677023
46124291,15661845
36824186,14680428
43264650,15796872
44509243,15054397
36991645,15785700
44352244,15173219
44462144,14482964
35319418,15227293
41089409,14732166
36802098,15169690
37362194,14644061
35447851,14881625
37314162,14816903
35919130,14612844
43525370,14528914
43324846,14515648
44354567,15078134
37461364,15056761
41283328,14574202
36847576,15462697
42626182,14704034
43112761,14668269
44238670,15754755
44157138,15946205
39345435,14965461
38201010,14964238
35823826,15005756
37591304,14546843
35083757,14895181
44621150,15103216
39440465,15719875
39973655,15286840
39033388,15070107
35045838,14626247
34734147,14785364
43381162,15177037
37845547,14738480
