read_ns,eval_ns
45010956,13426414
44720701,14601529
45389492,13848385
41266998,14501564
38000820,15242091
44799190,14480321
44259309,14517254
42632435,14621805
44538648,13410183
42960816,14372705
43072578,13154229
44211095,14478354
35926436,14873339
43545767,13022608
43853347,14712137
45345484,13693083
43326001,15068397
43549660,14635072
43443841,14576793
43350676,14611740
44523899,16964156
40049228,14615993
42979082,14149498
43604175,14636533
38147428,15326481
42803606,14624102
44495194,14591284
43405084,14576741
43487268,14588107
37607683,14624003
36717429,14537972
43382614,14342631
44091488,14556963
42920355,13425647
38704497,14162832
42846361,14776222
43930784,14434200
34427254,14201258
43323577,15220165
35747014,14345941
42660200,14341260
43201819,14304727
42648996,13513516
43196317,14714950
43443461,15257422
44617851,15238704
34774035,14402965
35626175,14779080
38805919,13401863
43485020,15146642
42590952,14617879
42949507,14288530
43097339,13720483
43709869,14520365
34322059,13828715
43511286,14597424
43152643,14478849
42694112,14523876
35715181,15106607
37051792,14322302
36426330,14523597
43238435,14322907
43225798,13398719
41511613,14568002
43602999,15191093
41518797,14345676
43867203,13693682
34459842,14459419
43749516,14413411
41701550,14553384
43212984,15056878
43184328,15227693
34970181,13657277
44379074,15118239
43382717,14603534
42724634,15291538
45002769,14478553
43104643,14611518
42886783,14387880
43878550,14536279
43597718,14579037
34298856,15309039
43517708,14450741
45236300,14509234
43363909,14509834
43299303,14364253
41370216,15207382
43296287,14328465
43148373,14302844
35625402,13731880
43894168,14402793
41412871,13815159
43266333,15271875
43288038,14536942
45238787,15208418
44855029,14215914
43522379,14554692
44572092,14584868
43987508,14564215
34187946,14217353
43061816,14560134
40357186,14058558
39282434,13169919
36826747,14526650
43557490,13594948
42544744,13215350
36683984,14523468
44920349,14461205
42748770,13153044
40045486,14383191
35135345,14802291
39484057,14405286
43380355,14953819
44713674,15101501
41597005,15209530
43175413,14551457
43345282,14515975
41921638,14601812
41937797,15299011
43019684,14590450
38678910,15745495
42713801,14425996
43053902,13848257
35642784,15000705
37491960,15038055
43109196,14382942
38862166,14552428
34900853,14609333
43604014,14207254
42677848,14568764
35591895,14323589
43384241,14505376
42672876,14377779
38659789,14557067
43346600,13708202
43995386,14563784
42605099,14200911
43694956,14569439
43072296,14373812
38521768,14599510
44748773,14360186
43108945,14566381
42242005,14374820
40142861,13982643
35772366,14933025
44194849,14050939
42850870,14405587
37700682,13331141
43478724,14572191
43204104,14507733
38140690,14864876
43487632,14457998
43426103,14505575
43701851,15305571
43658658,14435704
44843198,14421234
36286733,14605090
43359505,14341067
43606524,14396216
40668532,14076200
43001286,14415757
43379184,14524866
42704108,14543932
40004482,14549934
43436533,14388741
44022375,14336995
43178366,14504889
42523522,14510309
43299249,14473675
44385516,14540756
43514912,15167856
43080889,14553306
34543573,15118105
38618047,14399985
43708152,15330497
43486867,14541552
34228799,14770884
42707419,14556470
43573799,14502824
40502248,14559103
42585970,14429854
37914505,14170301
43825269,14577851
43796529,14448588
47334323,15024025
43747940,15040218
43267296,14414026
42721213,14563331
43534296,14442186
43852499,14293950
34165833,14082636
37234198,14419303
43279370,14542101
34382182,14459209
42365763,14355297
35817413,15103324
42813293,14536887
43759334,15045456
44736434,14694285
39436523,14485192
37812431,14587520
42637440,14489599
43859914,14780969
36855785,14446553
43042740,15561927
42775332,14217095
42859774,14498602
42709684,14610635
42858849,14394081
35411812,15022595
43510697,13980680
42487494,14443055
43416525,14591991
39122453,15186890
43332155,14577584
42900289,14530603
42703707,14323699
43222584,14310834
42635699,14689018
40277487,15046101
36674077,14197296
37081584,14462909
42923548,14580495
38498019,14426981
43366668,14944644
43811824,14582806
43329513,14394444
44095696,14528959
42790658,14481793
43262853,14294616
43826374,14409532
34549512,13215363
44724060,14393802
42934289,14557976
43291263,14507590
44031543,14770835
34420711,15193990
43363226,14367196
43482235,14547311
42838762,13669887
42849374,14404204
43957909,14573648
35553761,15260993
43475592,14540757
43071685,14360281
44093453,14389369
42459018,14527607
34105838,13260154
37707968,15356428
38160329,15064174
42498834,14565210
43045459,15237288
36526823,14229679
42526455,13696123
40544551,14385856
43492584,14527910
36074863,14559836
44480288,15150662
42592319,14556944
42510800,14329883
36943451,13798209
43410552,14420339
43117710,15755140
43928453,15220100
35694937,14444425
40824110,14502745
34546483,14560157
42813767,13691043
43038599,14595910
42959211,15309764
44124246,14438411
42977444,14549136
36410471,15016876
39379316,14503070
42670413,14457122
43204829,14593698
43238042,15091967
42815531,14371144
43300914,15178991
36132327,14391870
35344284,13661188
42894103,14530047
44018479,14398084
36822116,14557027
35969976,13425204
43445636,14599211
43912642,13445465
35585005,14470787
43117677,13808596
42709121,15153819
