read_ns,eval_ns
252188158,15804365
253972749,15377318
254113332,16247263
254613227,16589776
255381126,15720193
256270155,23709715
256515587,23692928
254721835,16926504
255212082,16217117
129743714,14972971
150864138,12626930
161745815,13207869
166176827,13844451
169727612,14325453
173938113,13568166
208691280,14831505
210545172,15446282
216115027,16672040
218430270,13940508
221663433,15102208
222434609,12601347
223653489,15058570
223192548,15382502
220320551,15153771
210235958,13907272
208424402,14039447
205393204,15797621
205676218,16310525
200272029,15999779
204205776,20287946
184478115,14183853
182208560,14227450
184451506,16035312
188357586,16322136
202171706,16258853
200604057,15953251
202040216,16317423
200295237,16003918
201341598,14328245
196831136,14979099
179224938,15643404
173418462,14663277
176375582,13800593
198523529,15283846
205577682,15101417
206310817,20411775
205155804,15836276
201753190,17206766
203169440,16406678
199597953,13339218
201302653,13124705
202385001,16289715
209375930,16389051
211188696,14896458
209851981,15560165
210872944,15723686
210639439,16558046
206932176,16844139
202924698,15818086
194723453,16125695
196050391,12014673
194574227,13746598
201795812,14734994
205394991,15645407
205191447,16596783
208408017,14744970
206082953,14772950
206093485,16296565
208880347,11467613
214007380,14792199
208239244,15597713
211617498,16566489
206147348,16174060
204648101,15855798
202534552,17222014
192995521,16727502
164887275,13633650
149572938,16805317
168646258,14116084
177211850,16084440
194563033,14395517
194138968,15841753
196279517,15007426
196374683,14417463
193335729,15137394
213838504,16578134
218695145,13681228
221219274,12018614
234381232,15669382
234655723,16059586
241604808,15701242
242767581,12753354
239899113,14935805
230565615,14133553
216819965,16473586
216967670,15220143
219271355,16213705
211484488,18528815
219317414,11173234
224963434,14051147
228069974,12542733
231135467,15694334
227299989,15707227
227945356,15098663
231573680,15476253
230382302,14845295
227822206,12904434
225019131,12283759
228343912,16434756
236176177,15515081
235924481,15452711
234009097,13881836
224108586,14211009
220326828,14089624
223421539,14568057
221244250,16043033
221346859,15200417
238153453,15606475
244068734,15744772
257012121,15569740
256893336,16325271
257256415,16346089
253960313,19018198
250498837,13748378
254284991,17000353
243851427,14466356
230619970,15306565
203114080,14642765
204523521,14303357
204179676,16086433
208111783,15730795
211352708,13440113
211345876,15467974
219487647,15714649
223403464,15470726
222759376,16470259
219298621,16523033
217809669,15660089
218162994,15284053
218026550,15056407
216790241,16337919
218086104,15955050
230454192,16143736
236018838,16076552
236671649,15416623
241000245,12548868
246840626,14812980
249630040,13355263
252296541,14799230
251918443,15094177
245593498,13407960
245386788,15026399
232172412,11960410
233078574,14786466
228285399,15593895
228416683,15378478
228099701,16024494
227493261,15077617
226187906,15195398
231417570,14626133
230608162,13428909
231464157,15802717
230872271,16509942
230067993,14917452
229217737,16426911
227326574,15781221
225874837,15405857
223842260,15068181
215678458,16107245
217074646,14219686
221535781,15575825
227801223,15798143
240280217,15679081
244062271,15701341
251118134,15118967
253688403,13967715
259043339,15803254
260773842,15748059
258980182,14552715
253124152,15515986
251767236,13811376
247073950,12281960
232671621,12554563
228633388,16341140
225548286,13283215
221696730,13190272
221041382,15989380
220943051,16462685
216578100,16045461
212251544,16117694
227293927,15650641
233164461,14097993
237205074,14724327
250760721,13438838
257819178,15437079
258957878,20971305
261169916,15090213
256485461,15698965
252861079,16143401
249752465,15151898
251738725,12772508
251879554,11043422
253114372,16036729
269587617,15718010
266233190,15882666
267911146,16822706
267616691,15044803
262245861,15356749
261279116,13902992
259998842,16015822
251266466,15962301
248962082,14570032
244780853,14523381
252459793,16864386
252569425,16144192
251852860,16695112
254044521,16180171
246513895,14826308
247453426,17669512
250320527,12637950
252995089,13084641
253865354,15548673
251373119,15946729
259291224,16227265
260490662,16572121
263741607,16605004
259782355,12531011
261036522,17301332
257264348,16435980
248696110,15036930
246834263,14815487
246026931,21188208
243250923,17197920
237607201,16562563
241669073,16294036
242234234,13299633
249321652,15140879
257017734,15243811
257956259,15639303
259451173,15972128
261973608,17175213
261477374,16443735
259090676,17574061
243602470,16017182
245867940,16645309
239119307,13998973
234918728,15495626
233991021,16921000
234255167,15811288
236821074,16339537
236822178,17676032
239289105,16900592
233813729,16093293
236477811,17482757
233039496,13512058
230669574,14363044
228961758,15233627
229996622,13078605
231409142,12691594
233839678,16489310
235145689,18475500
243124222,16736668
249382078,14712768
251805550,16167974
253400598,15233182
254772943,16855121
255714389,15808155
256465550,13796427
257894044,13711438
251454346,15632660
249184201,14555450
211023746,15505974
207822955,15037861
209269035,16731375
196105973,15397095
207963107,16621696
212184407,13359660
229171537,15730587
231784974,16389886
232729267,15926135
241946524,15649068
243983616,15405794
241301615,12083221
242934756,15052249
237963754,15170706
240011259,15157043
243140330,12016150
243282247,14859275
247906833,15818613
254752827,15980197
255256197,12480032
265905823,15767917
265099338,16594411
264902325,16411597
266743909,17042755
256569471,14602229
246651737,12070390
244429612,14702718
230402024,15938605
216583888,10280151
218429851,16047006
197450662,14139340
200232410,16420304
199928655,14652031
215470273,15920701
225421879,15899393
236379550,11259711
238847867,15050959
244562541,12223760
247410457,14810599
248664241,14787143
250191479,15250093
252729025,14539224
247725658,10776504
251841537,16743081
251545528,16488636
255102894,18376271
252378351,17026803
247411668,14676612
245671399,16139108
242458925,15029605
243017330,15945773
239534111,13923436
237165607,14053472
223635702,15310661
220785516,15157231
217367087,14645111
205905580,15274522
206901880,15765597
204777125,15569720
203914155,15546430
195211112,14014753
207908052,15183833
208236631,14822721
209119000,15419856
210282958,16436985
211051328,16077752
209774544,15673564
210196955,16583803
207587643,17051548
212669958,15660293
212308658,15032232
222612303,15518141
225107794,15593324
228602544,14344504
231743650,15016003
233832712,12862685
249936755,12194395
249236324,15183129
263171187,15851510
261046716,15848854
260082706,13659565
259385863,14077660
257304160,15393914
256290998,15041557
255558219,13898798
255325801,13229438
253174643,11198026
253861789,14404387
254421552,15839531
258507298,14285943
265444722,14459704
265508931,15491376
264248735,14788389
263768922,14859401
263515062,15136106
262387449,15762530
256472529,11487852
261965321,15260852
261030218,16120729
261813940,14404686
267865383,14841209
268301286,16979732
266994258,16435676
266468504,13769623
265872090,16109535
265029337,14859730
258613510,15222550
251849602,15946345
244494816,16265231
236403305,14556372
238702991,14441646
238698269,16434491
237243253,16521423
238827121,16477766
238850828,15433837
239409743,16109247
247872383,12623886
254457136,13999788
258201470,11742703
257063619,12558850
257000735,12899241
254700217,17443131
253271670,16751008
247083868,15711408
245507842,16506144
231913486,20941361
213243058,11461771
232126587,15550797
235697985,14434694
244849589,14724362
250073870,15404473
253865259,15824848
254203083,16153121
258824470,11290690
261201301,14841239
260710596,15155115
260396650,13570038
250348883,16189694
248946788,16967862
247557378,16256538
244529613,16923125
243415485,16883905
240119310,15266504
236914180,20893791
223773908,13805377
221290379,16038344
179987233,11499275
179490126,15322165
185071524,13152101
191901591,15789412
193645823,17440823
206553218,17033856
207541365,16356194
212436455,15906422
209070474,14914972
209583808,17015561
202632246,15181356
206965155,14623565
205177363,15267068
203852345,15330815
206521448,13872248
213387806,12963246
211645425,16092121
212171747,15495959
206394040,11979110
211169869,13164036
208758728,14867741
209170019,16195083
213594024,13108556
223180461,14968403
227522247,15337565
226535200,15716611
225907100,16648819
230983592,13208493
230000236,11803463
230376969,12956160
230334668,11982843
229139240,15279114
229745968,15597562
231250030,15205372
231095223,16334786
236918987,16102129
237423761,17591734
234743817,16878080
233589923,15295849
234613981,15939684
246033342,15284685
250868425,15871187
253534934,16184941
255469279,16743016
255661043,15231341
258506545,15379245
253434093,16087930
259841034,20053859
246817115,13335861
244123649,12888761
243133369,15613697
249992662,13590223
250836367,16373154
250037783,15626725
251957180,15489579
253668998,15433454
255671711,16033152
258454352,14599601
258967436,14686642
258819009,15789674
258323059,15357373
257362452,14988629
260336627,15902144
261832456,13881293
264201654,14717409
261979651,16279848
260634231,17415493
257383676,18268974
251786470,16420055
251917365,14097158
250614000,14401544
251754256,15524712
252839087,15581374
258570069,15191909
260067583,15631279
262657958,15669818
263842964,15850711
264281172,15953254
261369400,14814146
260600222,10688308
252653330,16832244
250229308,16198389
244951634,14747653
239247694,13184002
235554706,16671361
237725848,14163692
233783111,14527308
230147744,13896400
231931848,17863632
232940280,16102178
239557290,15606801
245490316,14455086
248660287,15917510
255541991,14331195
263356694,16566012
263095862,15825028
267395478,15302630
266567964,15486181
263054062,15403696
247360187,15387320
237104749,15846129
229541706,16337801
220959741,15298246
208684915,18218186
195713852,14383952
195538800,15984328
194173679,15248235
182402084,13833268
169830181,14708529
179016226,15423098
182384290,14821256
206262563,15819801
208714397,14987188
208917673,15198943
209328262,15272233
209587201,16246692
207981170,16052026
189942246,14370231
182342660,14596650
179935259,12098844
179633386,17061441
178819700,11157764
202906238,15897281
209764359,15414516
208804237,16129859
209957060,16110020
208879720,15766915
211348941,14627066
214961569,15835104
215570003,14924958
234234200,16295121
243941994,16691910
245241447,16857763
247160676,15716817
249181885,15233101
250309377,14759238
252127731,13007090
254453520,12561326
254586807,15899739
249864930,16426499
234431468,16378908
230394852,16714381
226081151,16268034
221640505,14921535
213822639,16271883
210422028,14295496
209240784,14719294
206605220,15558424
215838785,15177823
224268801,16616947
221166295,16709650
222042789,13873175
219302116,14958182
218416935,15168618
218907973,18555406
220908943,17012575
216439741,15970074
221168786,15835957
221265627,16465493
222512873,13396497
229630324,15643427
243604809,14298095
247574525,15321323
250895536,16320695
249321500,15187278
245176430,12181981
239263381,16115049
229313096,13904407
224551782,15461526
222769028,15357663
210857873,13860711
212683461,16011305
214364875,15725932
223827695,15892471
227074759,14434516
248599896,16833032
249826565,15019349
252073728,16942950
252778610,15650516
257452149,14561665
255789386,15029927
256210071,14846966
256712478,16786723
254112745,16018696
255034543,14729396
258791329,17282256
258831779,15711066
258227551,16312549
261338586,15805418
264040868,16629392
260952812,14911349
260858694,15464706
260547512,15855701
254457419,13968658
251043272,16724566
242118557,16036029
242921230,16273728
241212176,15402142
231208571,14241472
231676837,16777888
234021653,14991015
242586340,16251448
242331313,15710308
241335396,16633493
228116154,15326983
225583494,16696360
224025220,22110071
204527740,16135187
